Extension,Version,Folder,SizeMB,SizeGB
dotnetdev-kr-custom.csharp,2.145.15-win32-x64,dotnetdev-kr-custom.csharp-2.145.15-win32-x64,304.14,0.297
panekj.powershell,2021.10.0-universal,panekj.powershell-2021.10.0-universal,302.99,0.296
kide.kide-test-explorer,26.7.196-win32-x64,kide.kide-test-explorer-26.7.196-win32-x64,302.32,0.295
ms-vscode.powershell,2025.4.0-universal,ms-vscode.powershell-2025.4.0-universal,300.93,0.294
redhat.granitecode,0.6.0-win32-x64,redhat.granitecode-0.6.0-win32-x64,300.82,0.294
panekj.powershell-preview,2021.7.0-universal,panekj.powershell-preview-2021.7.0-universal,300.06,0.293
darkflows.codersinflow,0.0.1765,darkflows.codersinflow-0.0.1765,298.13,0.291
oracle.oracle-java,26.0.0-universal,oracle.oracle-java-26.0.0-universal,296.31,0.289
quickdb.quickdb,1.1.5-universal,quickdb.quickdb-1.1.5-universal,293.08,0.286
mosaico.mosaico-reference-client,0.3.0-win32-x64,mosaico.mosaico-reference-client-0.3.0-win32-x64,286.14,0.279
nxgentech.reposcope-ai,6.1.19-universal,nxgentech.reposcope-ai-6.1.19-universal,285.19,0.279
zqt.asset-manage,0.2.6-universal,zqt.asset-manage-0.2.6-universal,283.1,0.276
nvidia.nsight-copilot,2026.1.19-win32-x64,nvidia.nsight-copilot-2026.1.19-win32-x64,282.0,0.275
knoxchat.knoxchat,1.2.7-win32-x64,knoxchat.knoxchat-1.2.7-win32-x64,274.81,0.268
tinkercode.trident,0.1.3-universal,tinkercode.trident-0.1.3-universal,274.68,0.268
microchip.mplab-ai-coding-assistant,1.2.4,microchip.mplab-ai-coding-assistant-1.2.4,270.66,0.264
sourcery.sourcery,1.43.0-win32-x64,sourcery.sourcery-1.43.0-win32-x64,269.78,0.263
youzan.zode,0.3.9,youzan.zode-0.3.9,268.56,0.262
salesforce.salesforcedx-einstein-gpt,4.15.0-win32-x64,salesforce.salesforcedx-einstein-gpt-4.15.0-win32-x64,262.92,0.257
rjmacarthy.twinny,3.23.31-win32-x64,rjmacarthy.twinny-3.23.31-win32-x64,261.18,0.255
anthropic.claude-code,2.1.210-win32-x64,anthropic.claude-code-2.1.210-win32-x64,249.78,0.244
pixelpilotailabs.pixelpilot-copilot,3.1.1-universal,pixelpilotailabs.pixelpilot-copilot-3.1.1-universal,245.41,0.24
debugg-ai.debugg-ai,1.0.35,debugg-ai.debugg-ai-1.0.35,244.72,0.239
ourcelium.ourcelium,0.1.2-universal,ourcelium.ourcelium-0.1.2-universal,243.55,0.238
kowstol.container-tool-debug,2.4.5-universal,kowstol.container-tool-debug-2.4.5-universal,238.22,0.233
google.geminicodeassist,2.91.0-universal,google.geminicodeassist-2.91.0-universal,234.99,0.229
continue.continue,2.1.0,continue.continue-2.1.0,229.76,0.224
linkinsightlab.klaude,0.1.9-win32-x64,linkinsightlab.klaude-0.1.9-win32-x64,228.44,0.223
duplo.duplo-continue,1.3.34,duplo.duplo-continue-1.3.34,226.55,0.221
duplocloud.continue,1.3.29,duplocloud.continue-1.3.29,226.43,0.221
wct-tech.whalecloud-codingplus-vscode-plugin,1.2.8,wct-tech.whalecloud-codingplus-vscode-plugin-1.2.8,223.49,0.218
salesforce.salesforcedx-agentforce-vibes-2,0.12.14-win32-x64,salesforce.salesforcedx-agentforce-vibes-2-0.12.14-win32-x64,222.85,0.218
krugercorp.kode-x,1.15.10,krugercorp.kode-x-1.15.10,220.33,0.215
enduin.enduin,0.0.13,enduin.enduin-0.0.13,219.73,0.215
flocca.flocca,0.3.26-universal,flocca.flocca-0.3.26-universal,219.56,0.214
flyde.flyde-vscode,1.0.44-universal,flyde.flyde-vscode-1.0.44-universal,216.95,0.212
kyntrack.python-test,0.0.80-universal,kyntrack.python-test-0.0.80-universal,206.29,0.201
toolpath.support,0.2.0-universal,toolpath.support-0.2.0-universal,206.22,0.201
rubikonlabs.codeit,0.0.73,rubikonlabs.codeit-0.0.73,204.64,0.2
microsoft-isvexptools.powerplatform-vscode,2.0.145-universal,microsoft-isvexptools.powerplatform-vscode-2.0.145-universal,198.75,0.194
unoplatform.vscode,0.24.1-universal,unoplatform.vscode-0.24.1-universal,198.22,0.194
cmoog.sqlnotebook,0.7.0-universal,cmoog.sqlnotebook-0.7.0-universal,195.42,0.191
zazmic.ai-website-builder,0.0.8-universal,zazmic.ai-website-builder-0.0.8-universal,191.0,0.187
kristianshin.harvi-code,3.0.93-universal,kristianshin.harvi-code-3.0.93-universal,190.76,0.186
legitsecurity.legit-vibeguard,0.1.245-win32-x64,legitsecurity.legit-vibeguard-0.1.245-win32-x64,188.87,0.184
pinkpixel.pixeltank,1.0.2-universal,pinkpixel.pixeltank-1.0.2-universal,188.85,0.184
riversidesoftware.openedge-abl-lsp,1.34.0-win32-x64,riversidesoftware.openedge-abl-lsp-1.34.0-win32-x64,187.66,0.183
redhat.mta-go,8.1.3-universal,redhat.mta-go-8.1.3-universal,182.85,0.179
muhammad-sammy.csharp,2.145.21-g154a82fd27-win32-x64,muhammad-sammy.csharp-2.145.21-g154a82fd27-win32-x64,182.27,0.178
stencila.stencila,2.15.0-win32-x64,stencila.stencila-2.15.0-win32-x64,181.6,0.177
zhou491145.ai-novel-writing-system,5.5.12-universal,zhou491145.ai-novel-writing-system-5.5.12-universal,177.72,0.174
databricks.databricks,2.12.3-win32-x64,databricks.databricks-2.12.3-win32-x64,174.84,0.171
zencoderai.zencoder,3.68.0-win32-x64,zencoderai.zencoder-3.68.0-win32-x64,173.04,0.169
grik.ricochet,0.2.14-universal,grik.ricochet-0.2.14-universal,172.5,0.168
cybedefend.cybedefend,1.0.7-universal,cybedefend.cybedefend-1.0.7-universal,171.45,0.167
embedder.embedder-infineon,0.3.115-win32-x64,embedder.embedder-infineon-0.3.115-win32-x64,169.67,0.166
echoapi.echoapi-for-vscode,1.7.13-universal,echoapi.echoapi-for-vscode-1.7.13-universal,168.38,0.164
redhat.java,1.56.2026071108-win32-x64,redhat.java-1.56.2026071108-win32-x64,167.53,0.164
rooveterinaryinc.roo-code-nightly,0.0.8179-universal,rooveterinaryinc.roo-code-nightly-0.0.8179-universal,165.86,0.162
lensesio.lenses-vscode,6.2.6-universal,lensesio.lenses-vscode-6.2.6-universal,165.35,0.161
innoverio.vscode-dbt-power-user,0.61.7,innoverio.vscode-dbt-power-user-0.61.7,165.24,0.161
mt-codezy.codezy,0.1.22-universal,mt-codezy.codezy-0.1.22-universal,164.99,0.161
iganbold.superdesign,0.0.13-universal,iganbold.superdesign-0.0.13-universal,163.43,0.16
superdesigndev.superdesign-official,0.0.14-universal,superdesigndev.superdesign-official-0.0.14-universal,163.42,0.16
hazelight.unreal-angelscript,1.8.5-universal,hazelight.unreal-angelscript-1.8.5-universal,163.32,0.159
nromanov.dotrush,26.7.194-win32-x64,nromanov.dotrush-26.7.194-win32-x64,163.14,0.159
embedder.embedder-enterprise-2f3,0.3.152-win32-x64,embedder.embedder-enterprise-2f3-0.3.152-win32-x64,161.95,0.158
embedder.embedder-vscode,0.3.152-win32-x64,embedder.embedder-vscode-0.3.152-win32-x64,161.95,0.158
sailfish-ai.sf-veritas-extension,0.3.1-universal,sailfish-ai.sf-veritas-extension-0.3.1-universal,161.13,0.157
kchobantonov.jsonforms-vuetify-tooling,1.1.2-universal,kchobantonov.jsonforms-vuetify-tooling-1.1.2-universal,160.23,0.156
mangaba-ai.mangaba-ai,0.11.13-win32-x64,mangaba-ai.mangaba-ai-0.11.13-win32-x64,160.12,0.156
pipocode.pipo-code,4.97.0-universal,pipocode.pipo-code-4.97.0-universal,159.92,0.156
zorse.cloudfusion,1.1.7-universal,zorse.cloudfusion-1.1.7-universal,156.72,0.153
zoocodeorganization.zoo-code,3.68.0-universal,zoocodeorganization.zoo-code-3.68.0-universal,154.63,0.151
dappforge.dappforge,0.2.32-universal,dappforge.dappforge-0.2.32-universal,154.61,0.151
chadcode.chadcode,1.0.8-universal,chadcode.chadcode-1.0.8-universal,154.24,0.151
ontocode.ontocode,0.24.0-universal,ontocode.ontocode-0.24.0-universal,152.52,0.149
elai-code-publisher.elai-code,1.3.8-universal,elai-code-publisher.elai-code-1.3.8-universal,152.31,0.149
dipeshmajithia.mirror-vs,0.5.7-universal,dipeshmajithia.mirror-vs-0.5.7-universal,151.75,0.148
dbcode.dbcode,1.35.9-universal,dbcode.dbcode-1.35.9-universal,151.58,0.148
vpalgosro.dataloam,0.1.0-win32-x64,vpalgosro.dataloam-0.1.0-win32-x64,151.35,0.148
konveyor.konveyor-core,0.6.2-universal,konveyor.konveyor-core-0.6.2-universal,150.96,0.147
ecloud.zhanlu,2.8.0-universal,ecloud.zhanlu-2.8.0-universal,150.81,0.147
personaut.personaut-extension,0.1.6-universal,personaut.personaut-extension-0.1.6-universal,150.21,0.147
ticketyboo-dev.ticketyboo,1.0.3-universal,ticketyboo-dev.ticketyboo-1.0.3-universal,149.6,0.146
papillon.papillon-ai,1.1.1-universal,papillon.papillon-ai-1.1.1-universal,147.96,0.144
valrie27doek.cody-testing,1.149.1773708333-universal,valrie27doek.cody-testing-1.149.1773708333-universal,144.77,0.141
hybridtalentcomputing.roo-cline-chinese,3.54.0-universal,hybridtalentcomputing.roo-cline-chinese-3.54.0-universal,143.28,0.14
rooveterinaryinc.roo-cline,3.54.0-universal,rooveterinaryinc.roo-cline-3.54.0-universal,143.27,0.14
m365pnp.viva-connections-toolkit,4.19.0-universal,m365pnp.viva-connections-toolkit-4.19.0-universal,143.07,0.14
sourcegraph.cody-testing,1.156.1783990065-universal,sourcegraph.cody-testing-1.156.1783990065-universal,142.1,0.139
sourcegraph.cody-ai,1.155.0-universal,sourcegraph.cody-ai-1.155.0-universal,142.08,0.139
iann0036.tabd,0.0.7-universal,iann0036.tabd-0.0.7-universal,141.21,0.138
ktoon.mt-eden,0.0.4-universal,ktoon.mt-eden-0.0.4-universal,137.93,0.135
copilotkit.copilotkit-vscode-extension,0.2.3-win32-x64,copilotkit.copilotkit-vscode-extension-0.2.3-win32-x64,136.39,0.133
vadimcn.vscode-lldb,1.12.2,vadimcn.vscode-lldb-1.12.2,135.65,0.132
elan8.spec42,0.35.0-universal,elan8.spec42-0.35.0-universal,134.94,0.132
claudine.claudine,1.1.0-universal,claudine.claudine-1.1.0-universal,134.09,0.131
ideabox.idea-box,1.0.4-universal,ideabox.idea-box-1.0.4-universal,133.24,0.13
dodopayments.sentra-code,0.7.4-universal,dodopayments.sentra-code-0.7.4-universal,131.89,0.129
robin-collins.antigravity-omni-quota,1.1.1-universal,robin-collins.antigravity-omni-quota-1.1.1-universal,130.91,0.128
prb28.amiga-assembly,1.8.14-universal,prb28.amiga-assembly-1.8.14-universal,130.73,0.128
yongsk0066.css-module-explainer,5.2.0-universal,yongsk0066.css-module-explainer-5.2.0-universal,130.01,0.127
genomorphpvtltd.devtracker,1.0.4-universal,genomorphpvtltd.devtracker-1.0.4-universal,127.02,0.124
luma.jupyter,2022.3.108,luma.jupyter-2022.3.108,125.06,0.122
postman.postman-for-vscode,1.19.1-universal,postman.postman-for-vscode-1.19.1-universal,124.45,0.122
josedugu.easydb,0.2.1-universal,josedugu.easydb-0.2.1-universal,123.95,0.121
tsonglew.vecx,0.0.1-universal,tsonglew.vecx-0.0.1-universal,123.78,0.121
saikethan.markdown-studio,0.1.0-universal,saikethan.markdown-studio-0.1.0-universal,123.14,0.12
zlorn.vstuc,1.2.1-universal,zlorn.vstuc-1.2.1-universal,121.83,0.119
ibmblockchain.ibm-blockchain-platform,2.0.8-universal,ibmblockchain.ibm-blockchain-platform-2.0.8-universal,120.58,0.118
deepecon.stata-mcp,0.5.3-universal,deepecon.stata-mcp-0.5.3-universal,120.39,0.118
konveyor.konveyor-go,0.6.2-universal,konveyor.konveyor-go-0.6.2-universal,118.24,0.115
pa-andreas.mirror-view,26.6.15-universal,pa-andreas.mirror-view-26.6.15-universal,116.94,0.114
guangsheng.catgo,1.4.5-universal,guangsheng.catgo-1.4.5-universal,115.83,0.113
etienne-lescot.n8n-as-code,2.36.0-universal,etienne-lescot.n8n-as-code-2.36.0-universal,114.51,0.112
early-ai.earlyai,1.4.7,early-ai.earlyai-1.4.7,114.29,0.112
kade.kade,4.0.4-universal,kade.kade-4.0.4-universal,114.24,0.112
caretive.caret,0.4.8-universal,caretive.caret-0.4.8-universal,113.42,0.111
qwenlm.qwen-code-vscode-ide-companion,0.19.10-win32-x64,qwenlm.qwen-code-vscode-ide-companion-0.19.10-win32-x64,112.31,0.11
matterai.axon-code,6.5.3-universal,matterai.axon-code-6.5.3-universal,111.34,0.109
tocodex.tocodex,3.3.5-universal,tocodex.tocodex-3.3.5-universal,111.34,0.109
serokell-io.michelson-debugger,0.4.0-universal,serokell-io.michelson-debugger-0.4.0-universal,111.3,0.109
veracode.veracode-vscode-plugin,1.16.1-win32-x64,veracode.veracode-vscode-plugin-1.16.1-win32-x64,110.28,0.108
marciopataca.onestream-consultant-toolkit,0.6.1-win32-x64,marciopataca.onestream-consultant-toolkit-0.6.1-win32-x64,110.26,0.108
sera-foundation.agent-vault,0.0.4-universal,sera-foundation.agent-vault-0.0.4-universal,109.06,0.107
designliquido.designliquido-vscode,0.27.4-universal,designliquido.designliquido-vscode-0.27.4-universal,108.96,0.106
sshimono.testlatte,2.1.3-universal,sshimono.testlatte-2.1.3-universal,108.86,0.106
vibestudio-inc.vibestudio-vibestudio,3.3.9-universal,vibestudio-inc.vibestudio-vibestudio-3.3.9-universal,108.68,0.106
hediet.vscode-drawio,1.6.6,hediet.vscode-drawio-1.6.6,107.25,0.105
likhith-adithya.ai-cli-pro,0.1.0-universal,likhith-adithya.ai-cli-pro-0.1.0-universal,107.25,0.105
hediet.vscode-drawio-insiders-build,1.6.606,hediet.vscode-drawio-insiders-build-1.6.606,107.24,0.105
irinagolovchenko56.vscode-drawio,1.6.7,irinagolovchenko56.vscode-drawio-1.6.7,107.24,0.105
konveyor.konveyor-java,0.6.2-universal,konveyor.konveyor-java-0.6.2-universal,107.24,0.105
kylinideteam.kylin-drawio,0.0.11,kylinideteam.kylin-drawio-0.0.11,107.19,0.105
coolcline.coolcline,4.6.7-win32-x64,coolcline.coolcline-4.6.7-win32-x64,106.84,0.104
vividus.vividus-studio,0.2.11-universal,vividus.vividus-studio-0.2.11-universal,106.37,0.104
openotter.ai-embedded-system-helper,0.2.0-universal,openotter.ai-embedded-system-helper-0.2.0-universal,104.85,0.102
randomfractalsinc.vscode-data-preview,2.2.0-universal,randomfractalsinc.vscode-data-preview-2.2.0-universal,104.69,0.102
redhat.mta-java,8.1.3-universal,redhat.mta-java-8.1.3-universal,104.61,0.102
pointbreak.pointbreak,0.2.3-win32-x64,pointbreak.pointbreak-0.2.3-win32-x64,103.95,0.102
hopcode.hopcode-vscode-ide-companion,0.30.5-universal,hopcode.hopcode-vscode-ide-companion-0.30.5-universal,103.03,0.101
ibm.bob-z-extension,3.0.0-universal,ibm.bob-z-extension-3.0.0-universal,102.46,0.1
danielsanmedium.dscodegpt,3.22.2-universal,danielsanmedium.dscodegpt-3.22.2-universal,101.97,0.1
tdad.tdad,0.0.27-universal,tdad.tdad-0.0.27-universal,101.88,0.099
weiboplat.wecoder,1.0.124-universal,weiboplat.wecoder-1.0.124-universal,101.72,0.099
redhat.mta-javascript,8.1.3-universal,redhat.mta-javascript-8.1.3-universal,101.61,0.099
the-orql.orql-debugger,1.0.1-universal,the-orql.orql-debugger-1.0.1-universal,101.22,0.099
devsense.intelli-php-vscode,0.12.17700-win32-x64,devsense.intelli-php-vscode-0.12.17700-win32-x64,100.15,0.098
wso2.ballerina,5.12.2-universal,wso2.ballerina-5.12.2-universal,100.02,0.098
yantra-copilot.yantra-copilot,0.4.56-universal,yantra-copilot.yantra-copilot-0.4.56-universal,99.43,0.097
moyogi.cursor-provider-bridge,0.1.2-universal,moyogi.cursor-provider-bridge-0.1.2-universal,97.87,0.096
entan-gl.cc65-vice,8.2.0-universal,entan-gl.cc65-vice-8.2.0-universal,97.28,0.095
konveyor.konveyor-csharp,0.6.2-universal,konveyor.konveyor-csharp-0.6.2-universal,97.22,0.095
redhat.mta-csharp,8.1.3-universal,redhat.mta-csharp-8.1.3-universal,97.15,0.095
sapse.mdk-editor,2.1.0-universal,sapse.mdk-editor-2.1.0-universal,96.81,0.095
sapse.vsc-extension-mdk,2.1.1-universal,sapse.vsc-extension-mdk-2.1.1-universal,96.81,0.095
pa-andreas.luna-image-editor,26.6.15-universal,pa-andreas.luna-image-editor-26.6.15-universal,96.77,0.095
browserstackcom.test-companion,1.18.6-universal,browserstackcom.test-companion-1.18.6-universal,96.14,0.094
szlk.solopreneur-roadmap,0.0.340-universal,szlk.solopreneur-roadmap-0.0.340-universal,94.08,0.092
neontractorinc.neontractor-ai,10.1.5-universal,neontractorinc.neontractor-ai-10.1.5-universal,93.87,0.092
jigneshkotia.resuggestor,0.0.10-universal,jigneshkotia.resuggestor-0.0.10-universal,92.15,0.09
marimo-team.vscode-marimo,0.13.5-win32-x64,marimo-team.vscode-marimo-0.13.5-win32-x64,90.63,0.089
ibm.zopeneditor,6.6.0-universal,ibm.zopeneditor-6.6.0-universal,90.52,0.088
markwhen.markwhen,1.4.2,markwhen.markwhen-1.4.2,90.47,0.088
exerati.exerati-code-vscode-ide-companion,0.0.40-universal,exerati.exerati-code-vscode-ide-companion-0.0.40-universal,90.37,0.088
lidge-jun.code-office,3.7.49-universal,lidge-jun.code-office-3.7.49-universal,90.16,0.088
nocoly.hap-for-vscode,0.2.4-universal,nocoly.hap-for-vscode-0.2.4-universal,89.71,0.088
modular-mojotools.vscode-mojo-nightly,2025.6.2705,modular-mojotools.vscode-mojo-nightly-2025.6.2705,89.24,0.087
mistralai.mistral-vibe-code,1.13.0-win32-x64,mistralai.mistral-vibe-code-1.13.0-win32-x64,89.15,0.087
jovyan-ai.jovyan,1.24.3-universal,jovyan-ai.jovyan-1.24.3-universal,89.0,0.087
littlecareless.dish-ai-commit,0.55.7-universal,littlecareless.dish-ai-commit-0.55.7-universal,88.99,0.087
i2flabs.aevum,1.7.0-universal,i2flabs.aevum-1.7.0-universal,87.97,0.086
swarmify.swarm-ext,0.9.292-universal,swarmify.swarm-ext-0.9.292-universal,87.67,0.086
vmware.vscode-spring-boot,2.3.2026071400-universal,vmware.vscode-spring-boot-2.3.2026071400-universal,87.18,0.085
tenstorrent.tt-vscode-toolkit,0.1.17-universal,tenstorrent.tt-vscode-toolkit-0.1.17-universal,86.65,0.085
orangecattechpvtltd.syntx,2.5.0-universal,orangecattechpvtltd.syntx-2.5.0-universal,86.55,0.085
waibee.waibee,0.2.3-universal,waibee.waibee-0.2.3-universal,86.23,0.084
cybrosys-assista-ltd.cybrosys-assista,1.0.4-universal,cybrosys-assista-ltd.cybrosys-assista-1.0.4-universal,85.78,0.084
omlet.omlet-vscode-extension,1.1.7-win32-x64,omlet.omlet-vscode-extension-1.1.7-win32-x64,85.22,0.083
spoorthi.cosmy-wasmy,2.5.0-universal,spoorthi.cosmy-wasmy-2.5.0-universal,84.36,0.082
makehub.makehub,1.0.0-universal,makehub.makehub-1.0.0-universal,83.85,0.082
wallabyjs.wallaby-vscode,1.0.498-universal,wallabyjs.wallaby-vscode-1.0.498-universal,83.72,0.082
deepnote.vscode-deepnote,1.5.0-universal,deepnote.vscode-deepnote-1.5.0-universal,83.49,0.082
samgiz.vscode-kanbn-boards,0.14.1-universal,samgiz.vscode-kanbn-boards-0.14.1-universal,82.85,0.081
kombai.kombai,2.0.41-win32-x64,kombai.kombai-2.0.41-win32-x64,82.0,0.08
thundercompute.thunder-compute,0.5.11-universal,thundercompute.thunder-compute-0.5.11-universal,81.94,0.08
bruin.bruin,0.82.3-universal,bruin.bruin-0.82.3-universal,81.89,0.08
elumine.kotlin-jump,1.23.0-universal,elumine.kotlin-jump-1.23.0-universal,81.29,0.079
cdervis.vscode-pi,0.20.0-universal,cdervis.vscode-pi-0.20.0-universal,81.14,0.079
vexp.vexp-vscode,2.2.0-win32-x64,vexp.vexp-vscode-2.2.0-win32-x64,81.04,0.079
malloydata.malloy-vscode,0.3.1783014818-win32-x64,malloydata.malloy-vscode-0.3.1783014818-win32-x64,79.74,0.078
the-sylvester.crispy,0.3.4-win32-x64,the-sylvester.crispy-0.3.4-win32-x64,79.52,0.078
pigweed.pigweed,1.10.4-universal,pigweed.pigweed-1.10.4-universal,78.83,0.077
dirac-run.dirac,0.4.16-universal,dirac-run.dirac-0.4.16-universal,78.51,0.077
wscats.eno,2.3.53-universal,wscats.eno-2.3.53-universal,78.28,0.076
codescene.codescene-codehealth-mcp,1.4.0-win32-x64,codescene.codescene-codehealth-mcp-1.4.0-win32-x64,78.02,0.076
stripe.vscode-stripe,2.0.14-universal,stripe.vscode-stripe-2.0.14-universal,76.84,0.075
moonshot-ai.kimi-code,0.5.10-win32-x64,moonshot-ai.kimi-code-0.5.10-win32-x64,76.11,0.074
damms005.devdb,3.0.9-win32-x64,damms005.devdb-3.0.9-win32-x64,75.64,0.074
mifxch.gantry,0.3.1-universal,mifxch.gantry-0.3.1-universal,74.93,0.073
kylinideteam.cppdebug,0.4.0-win32-x64,kylinideteam.cppdebug-0.4.0-win32-x64,74.59,0.073
rise.androidluahelper,0.0.34-universal,rise.androidluahelper-0.0.34-universal,74.51,0.073
tencent-cloud.coding-copilot,4.9.32015789-universal,tencent-cloud.coding-copilot-4.9.32015789-universal,74.05,0.072
muthukumarkoodalingam.karate-test-generator,1.5.2-universal,muthukumarkoodalingam.karate-test-generator-1.5.2-universal,74.03,0.072
com-adobe-coldfusion.adobe-cfml-lsp,1.0.823,com-adobe-coldfusion.adobe-cfml-lsp-1.0.823,73.56,0.072
burtsonlabs.bandit-stealth,1.7.379,burtsonlabs.bandit-stealth-1.7.379,73.25,0.072
datadog.datadog-vscode,2.33.0,datadog.datadog-vscode-2.33.0,73.15,0.071
testdriver.testdriver,0.6.45-universal,testdriver.testdriver-0.6.45-universal,72.99,0.071
killerall.advpl-vscode,0.18.1-universal,killerall.advpl-vscode-0.18.1-universal,72.88,0.071
waylog.waylog,0.0.10-win32-x64,waylog.waylog-0.0.10-win32-x64,72.15,0.07
woung717.backtest-manager,0.1.12-universal,woung717.backtest-manager-0.1.12-universal,72.15,0.07
craftlandstudio.ffugclanguage,1.10.1-universal,craftlandstudio.ffugclanguage-1.10.1-universal,71.55,0.07
mike-lischke.vscode-antlr4,2.3.1-universal,mike-lischke.vscode-antlr4-2.3.1-universal,71.45,0.07
riversidesoftware.sonarlint-abl,4.45.99002-universal,riversidesoftware.sonarlint-abl-4.45.99002-universal,71.31,0.07
tsucky230.comp-vscode,0.9.2-universal,tsucky230.comp-vscode-0.9.2-universal,70.76,0.069
rocketride.rocketride,1.3.0-universal,rocketride.rocketride-1.3.0-universal,70.53,0.069
revaturepro-local.revature-python-labs-local,0.0.2-universal,revaturepro-local.revature-python-labs-local-0.0.2-universal,70.21,0.069
edgarmoran.anypoint-monitor,0.0.83-universal,edgarmoran.anypoint-monitor-0.0.83-universal,69.72,0.068
redhat.vscode-xml,0.29.2026061109-win32-x64,redhat.vscode-xml-0.29.2026061109-win32-x64,69.68,0.068
ovhcloud.jepilote,0.2.1-win32-x64,ovhcloud.jepilote-0.2.1-win32-x64,69.61,0.068
kodu-ai.claude-dev-experimental,2.3.5-universal,kodu-ai.claude-dev-experimental-2.3.5-universal,69.43,0.068
nskha.perplexity-vscode,0.8.54-universal,nskha.perplexity-vscode-0.8.54-universal,69.25,0.068
create3000.x-ite-vscode-formatter,2.0.10-universal,create3000.x-ite-vscode-formatter-2.0.10-universal,69.13,0.068
tamasfe.even-better-toml,0.21.2-universal,tamasfe.even-better-toml-0.21.2-universal,68.92,0.067
wallabyjs.quokka-vscode,1.0.766-universal,wallabyjs.quokka-vscode-1.0.766-universal,68.31,0.067
kawana.kawana-extension,1.0.0-universal,kawana.kawana-extension-1.0.0-universal,67.98,0.066
monet.claude-code,2.1.0-universal,monet.claude-code-2.1.0-universal,67.72,0.066
nrigalle.claude-trace,1.8.2-win32-x64,nrigalle.claude-trace-1.8.2-win32-x64,67.5,0.066
sikilab.md-view,0.0.8-universal,sikilab.md-view-0.0.8-universal,67.32,0.066
zhukunpeng.claude-code-cn,1.0.3-universal,zhukunpeng.claude-code-cn-1.0.3-universal,67.14,0.066
smallcloud.codify,3.2.112-win32-x64,smallcloud.codify-3.2.112-win32-x64,66.62,0.065
veverke.chatwizard,1.5.0-win32-x64,veverke.chatwizard-1.5.0-win32-x64,66.55,0.065
sas.sas-lsp,1.20.0-universal,sas.sas-lsp-1.20.0-universal,66.38,0.065
puppet.puppet-vscode,1.5.7-universal,puppet.puppet-vscode-1.5.7-universal,66.05,0.065
cocursor.cocursor,0.1.9-win32-x64,cocursor.cocursor-0.1.9-win32-x64,66.01,0.064
myriad-dreamin.tinymist,0.15.2-win32-x64,myriad-dreamin.tinymist-0.15.2-win32-x64,66.0,0.064
da3n0n.ultraview,0.2.399-universal,da3n0n.ultraview-0.2.399-universal,65.7,0.064
yusishuma.voice-input-assistant,2.0.0-universal,yusishuma.voice-input-assistant-2.0.0-universal,65.19,0.064
thingraph.dwg-viewer,1.5.7-universal,thingraph.dwg-viewer-1.5.7-universal,65.05,0.064
