"Folder","SizeGB"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache","0.04"
"C:\Users\PCCPPPCCC\AppData\Local\npm-cache\_cacache","0.04"
"C:\Users\PCCPPPCCC\AppData\Roaming\douyin\Cache","0.04"
"C:\Users\PCCPPPCCC\.codex\plugins\cache","0.04"
"C:\Users\PCCPPPCCC\AppData\Roaming\douyin\Cache\Cache_Data","0.04"
"C:\Users\PCCPPPCCC\AppData\Roaming\kingsoft\office6\cache","0.04"
"C:\Users\PCCPPPCCC\AppData\Local\Google\Chrome\User Data\Default\Service Worker","0.04"
"C:\Users\PCCPPPCCC\go\pkg\mod\cache","0.03"
"C:\Users\PCCPPPCCC\AppData\Local\Google\Chrome\User Data\component_crx_cache","0.03"
"C:\Users\PCCPPPCCC\AppData\LocalLow\KunlunInput\InstallerCache","0.03"
"C:\Users\PCCPPPCCC\AppData\Local\com.superhuman.web-client\EBWebView\Default\Code Cache","0.03"
"C:\Users\PCCPPPCCC\AppData\Local\Google\Chrome\User Data\Default\Service Worker\ScriptCache","0.03"
"C:\Users\PCCPPPCCC\AppData\Local\JetBrains\PyCharm2026.1\jcef_cache","0.03"
"C:\Users\PCCPPPCCC\AppData\Local\JetBrains\PyCharm2026.1\plugins\imageCache","0.03"
"C:\Users\PCCPPPCCC\AppData\Roaming\kingsoft\office6\log","0.03"
"C:\Users\PCCPPPCCC\.positron\extensions\mythologiq.mythologiq-failsafe-5.9.0-universal","0.03"
"C:\Users\PCCPPPCCC\.codex\plugins\cache\openai-curated-remote\openai-templates","0.03"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\Edge\User Data\Default\Code Cache","0.03"
"C:\Users\PCCPPPCCC\AppData\Local\NVIDIA Corporation\NVIDIA GeForce Experience\CefCache","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\57868Codaapp.AppsforGmail_4bn2s5v6tep1y\LocalCache\WebViews\900a413dcbb34f24b585b6ed18b94e54\EBWebView\Default\Code Cache","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Mozilla\Firefox\Profiles\ga3e1q0f.default-release\startupCache","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\JetBrains\PyCharm2026.1\log","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Google\DriveFS\Logs","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Google\Chrome\User Data\Profile 1\Code Cache","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\EBWebView\Default\Code Cache","0.02"
"C:\Users\PCCPPPCCC\AppData\Roaming\RStudio\Code Cache","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.WindowsStore_8wekyb3d8bbwe\LocalCache","0.02"
"C:\Users\PCCPPPCCC\.positron\extensions\zhou491145.ai-novel-writing-system-5.5.12-universal\node_modules\@xenova\transformers\.cache","0.02"
"C:\Users\PCCPPPCCC\AppData\Roaming\kimi-desktop\daimon-bundle\app\daimon\assets\builtin-skills\swarm-coding\assets\templates","0.02"
"C:\Users\PCCPPPCCC\.positron\extensions\nuhmanpk.superlogger-0.1.5-universal","0.02"
"C:\Users\PCCPPPCCC\.positron\extensions\imandra.speclogician-0.4.0-universal","0.02"
"C:\Users\PCCPPPCCC\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\swarm-coding\assets\templates","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\WV2Profile_tfl\Cache\Cache_Data","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Qianwen\User Data\Default\Cache\Cache_Data","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\WV2Profile_tfl\Cache","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.WindowsStore_8wekyb3d8bbwe\LocalCache\perUserCache_{Global}","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Qianwen\User Data\Default\Cache","0.02"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\ScratchFoundation.ScratchDesktop_wmbdy4q6dbx4t\LocalCache\Roaming\Scratch\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\NVIDIA Corporation\NVIDIA GeForce Experience\CefCache\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView\Default\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView\Default\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\LocalCache\Roaming\Microsoft\Skype for Store\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView\Default\Service Worker","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\OfficePLUS\webview2\OPExcelAddin\EBWebView\Default\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\OfficePLUS\webview2\OPExcelAddin\EBWebView\Default\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\WV2Profile_tfw\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\WV2Profile_tfw\Code Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\LocalCache\Roaming\Microsoft\Skype for Store\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\ScratchFoundation.ScratchDesktop_wmbdy4q6dbx4t\LocalCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\WV2Profile_tfw\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Claude_pzs8sxrjxfjjc\LocalCache\Roaming\Claude\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Programs\QianwenApp\Temp","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\crystalcrafter.database-platform-1.0.1-universal\.tmp-icon-venv","0.01"
