"Extension","Folder","SizeMB","Level"
"databricks.databricks","databricks.databricks-2.12.3-win32-x64","174.84","?"
"zencoderai.zencoder","zencoderai.zencoder-3.68.0-win32-x64","173.04","?"
"grik.ricochet","grik.ricochet-0.2.14-universal","172.5","?"
"cybedefend.cybedefend","cybedefend.cybedefend-1.0.7-universal","171.45","?"
"embedder.embedder-infineon","embedder.embedder-infineon-0.3.115-win32-x64","169.67","?"
"echoapi.echoapi-for-vscode","echoapi.echoapi-for-vscode-1.7.13-universal","168.38","?"
"redhat.java","redhat.java-1.56.2026071108-win32-x64","167.53","?"
"rooveterinaryinc.roo-code-nightly","rooveterinaryinc.roo-code-nightly-0.0.8179-universal","165.86","?"
"lensesio.lenses-vscode","lensesio.lenses-vscode-6.2.6-universal","165.35","?"
"innoverio.vscode-dbt-power-user","innoverio.vscode-dbt-power-user-0.61.7","165.24","?"
"mt-codezy.codezy","mt-codezy.codezy-0.1.22-universal","164.99","?"
"iganbold.superdesign","iganbold.superdesign-0.0.13-universal","163.43","?"
"superdesigndev.superdesign-official","superdesigndev.superdesign-official-0.0.14-universal","163.42","?"
"hazelight.unreal-angelscript","hazelight.unreal-angelscript-1.8.5-universal","163.32","?"
"nromanov.dotrush","nromanov.dotrush-26.7.194-win32-x64","163.14","?"
"embedder.embedder-enterprise-2f3","embedder.embedder-enterprise-2f3-0.3.152-win32-x64","161.95","?"
"embedder.embedder-vscode","embedder.embedder-vscode-0.3.152-win32-x64","161.95","?"
"sailfish-ai.sf-veritas-extension","sailfish-ai.sf-veritas-extension-0.3.1-universal","161.13","?"
"kchobantonov.jsonforms-vuetify-tooling","kchobantonov.jsonforms-vuetify-tooling-1.1.2-universal","160.23","?"
"mangaba-ai.mangaba-ai","mangaba-ai.mangaba-ai-0.11.13-win32-x64","160.12","?"
"pipocode.pipo-code","pipocode.pipo-code-4.97.0-universal","159.92","?"
"zorse.cloudfusion","zorse.cloudfusion-1.1.7-universal","156.72","?"
"zoocodeorganization.zoo-code","zoocodeorganization.zoo-code-3.68.0-universal","154.63","?"
"dappforge.dappforge","dappforge.dappforge-0.2.32-universal","154.61","?"
"chadcode.chadcode","chadcode.chadcode-1.0.8-universal","154.24","?"
"ontocode.ontocode","ontocode.ontocode-0.24.0-universal","152.52","?"
"elai-code-publisher.elai-code","elai-code-publisher.elai-code-1.3.8-universal","152.31","?"
"dipeshmajithia.mirror-vs","dipeshmajithia.mirror-vs-0.5.7-universal","151.75","?"
"dbcode.dbcode","dbcode.dbcode-1.35.9-universal","151.58","?"
"vpalgosro.dataloam","vpalgosro.dataloam-0.1.0-win32-x64","151.38","?"
"konveyor.konveyor-core","konveyor.konveyor-core-0.6.2-universal","150.96","?"
"ecloud.zhanlu","ecloud.zhanlu-2.8.0-universal","150.81","?"
"personaut.personaut-extension","personaut.personaut-extension-0.1.6-universal","150.21","?"
"ticketyboo-dev.ticketyboo","ticketyboo-dev.ticketyboo-1.0.3-universal","149.6","?"
"papillon.papillon-ai","papillon.papillon-ai-1.1.1-universal","147.96","?"
"m365pnp.viva-connections-toolkit","m365pnp.viva-connections-toolkit-4.19.0-universal","147.21","?"
"valrie27doek.cody-testing","valrie27doek.cody-testing-1.149.1773708333-universal","144.77","?"
"hybridtalentcomputing.roo-cline-chinese","hybridtalentcomputing.roo-cline-chinese-3.54.0-universal","143.28","?"
"rooveterinaryinc.roo-cline","rooveterinaryinc.roo-cline-3.54.0-universal","143.27","?"
"sourcegraph.cody-testing","sourcegraph.cody-testing-1.156.1783990065-universal","142.1","?"
"sourcegraph.cody-ai","sourcegraph.cody-ai-1.155.0-universal","142.08","?"
"iann0036.tabd","iann0036.tabd-0.0.7-universal","141.21","?"
"vividus.vividus-studio","vividus.vividus-studio-0.2.11-universal","139.71","?"
"ktoon.mt-eden","ktoon.mt-eden-0.0.4-universal","137.93","?"
"copilotkit.copilotkit-vscode-extension","copilotkit.copilotkit-vscode-extension-0.2.3-win32-x64","136.39","?"
"vadimcn.vscode-lldb","vadimcn.vscode-lldb-1.12.2","135.65","?"
"elan8.spec42","elan8.spec42-0.35.0-universal","134.94","?"
"claudine.claudine","claudine.claudine-1.1.0-universal","134.09","?"
"ideabox.idea-box","ideabox.idea-box-1.0.4-universal","133.24","?"
"dodopayments.sentra-code","dodopayments.sentra-code-0.7.4-universal","131.89","?"
"robin-collins.antigravity-omni-quota","robin-collins.antigravity-omni-quota-1.1.1-universal","130.91","?"
"prb28.amiga-assembly","prb28.amiga-assembly-1.8.14-universal","130.73","?"
"yongsk0066.css-module-explainer","yongsk0066.css-module-explainer-5.2.0-universal","130.01","?"
