"Extension","Folder","SizeMB","Level"
"alisexchange.alis-build","alisexchange.alis-build-2.0.440-universal","18.85","?"
"markusvankempen.code-engine-mcp","markusvankempen.code-engine-mcp-1.5.0-universal","18.78","?"
"neosyn.neosyn-cg","neosyn.neosyn-cg-2.7.0-universal","18.68","?"
"george-ogden.xray","george-ogden.xray-0.4.9-universal","18.63","?"
"testfox.testfox","testfox.testfox-8.3.5-universal","18.47","?"
"santiagoromanchillon.codegraph-viewer","santiagoromanchillon.codegraph-viewer-0.3.2-universal","18.39","?"
"sammy970.cursor-usage","sammy970.cursor-usage-1.0.2-universal","18.29","?"
"eliostruyf.vscode-ghostwriter","eliostruyf.vscode-ghostwriter-0.0.12-universal","18.28","?"
"jhan1215.cursor-usage-counter","jhan1215.cursor-usage-counter-0.1.1-universal","18.25","?"
"morrieinmaas.zettelgeist","morrieinmaas.zettelgeist-0.4.3-universal","18.15","?"
"vscjava.vscode-maven","vscjava.vscode-maven-0.45.3-universal","17.79","?"
"groverlee.file-nesting-explorer","groverlee.file-nesting-explorer-0.6.0-universal","17.64","?"
"kylinideteam.vscode-maven","kylinideteam.vscode-maven-0.1.11-universal","17.63","?"
"samuraiagent.samurai-agent","samuraiagent.samurai-agent-0.3.48-universal","17.55","?"
"shotmeow.squint","shotmeow.squint-0.3.3-universal","17.52","?"
"linzhang.dataflow-dag-vsc-ext","linzhang.dataflow-dag-vsc-ext-0.0.1-universal","17.5","?"
"charkoal.charkoal","charkoal.charkoal-1.0.8-universal","17.49","?"
"circleci.circleci","circleci.circleci-2.12.1-universal","17.48","?"
"voltai.voltai-agent","voltai.voltai-agent-1.6.8-universal","17.47","?"
"voltai.voltai-agent-staging","voltai.voltai-agent-staging-0.0.1783624006-universal","17.46","?"
"kylinideteam.kylin-cmake-tools","kylinideteam.kylin-cmake-tools-0.4.1-universal","17.43","?"
"magic5644.magicvid2gif","magic5644.magicvid2gif-1.0.2-universal","17.34","?"
"tabnine.tabnine-vscode","tabnine.tabnine-vscode-3.346.8-universal","17.33","?"
"zazaulola.svg-path-helper","zazaulola.svg-path-helper-0.4.1-universal","17.32","?"
"zenml.zenml-vscode","zenml.zenml-vscode-0.0.21-universal","17.32","?"
"prasadmuley.weaviate-studio","prasadmuley.weaviate-studio-1.8.0-universal","17.24","?"
"multi.multi-nightly","multi.multi-nightly-0.0.116-universal","17.1","?"
"geniebuilder.geniebuilder","geniebuilder.geniebuilder-0.4.11-universal","17","?"
"geniebuilder.geniebuilder-insider","geniebuilder.geniebuilder-insider-0.4.12-universal","17","?"
"multi.multi","multi.multi-0.0.115-universal","16.99","?"
"liubai01.config-md","liubai01.config-md-0.6.21-universal","16.81","?"
"gsuleimanov.alat-dependency-graph","gsuleimanov.alat-dependency-graph-0.12.0-universal","16.8","?"
"privy.privy-vscode","privy.privy-vscode-0.2.8-universal","16.75","?"
"eclipse-cdt.peripheral-inspector","eclipse-cdt.peripheral-inspector-1.9.2-universal","16.74","?"
"codeium.codeium","codeium.codeium-1.48.2-universal","16.72","?"
"julienblanchon.mujoco-viewer","julienblanchon.mujoco-viewer-0.1.6-universal","16.61","?"
"gnassro.phi-agent","gnassro.phi-agent-0.7.2-universal","16.61","?"
"tldraw-org.tldraw-vscode","tldraw-org.tldraw-vscode-2.297.0-universal","16.49","?"
"nicolasmota.langfuse-traces","nicolasmota.langfuse-traces-0.3.3-universal","16.43","?"
"effortlessmetrics.perl-lsp-rs","effortlessmetrics.perl-lsp-rs-0.16.0-universal","16.39","?"
"vitalyostanin.markdown-org-vscode","vitalyostanin.markdown-org-vscode-0.11.0-win32-x64","16.27","?"
"hasbi-sabah.octapi","hasbi-sabah.octapi-0.3.0-universal","16.16","?"
"manul-engine.manul-mcp-server","manul-engine.manul-mcp-server-0.0.8-universal","16.11","?"
"d-biehl.robotcode","d-biehl.robotcode-2.7.0-universal","16.06","?"
"cweijan.dbclient-jdbc","cweijan.dbclient-jdbc-1.4.2-universal","16.01","?"
"fengkx.beancount-lsp-client","fengkx.beancount-lsp-client-0.0.182-universal","15.95","?"
"swiftstream.swiftstream","swiftstream.swiftstream-1.3.10-universal","15.91","?"
"jeil-structuralengineering-consultants.stgen","jeil-structuralengineering-consultants.stgen-0.3.3-universal","15.91","?"
"rishishah.sentinel-arduino","rishishah.sentinel-arduino-1.0.1-universal","15.82","?"
"duanyll.image-gallery","duanyll.image-gallery-1.3.0-universal","15.72","?"
"mccprogrammer.markify","mccprogrammer.markify-0.1.0-universal","15.69","?"
"ms-vscode.go","ms-vscode.go-0.14.3-universal","15.67","?"
"connectailab.connect-ai-lab","connectailab.connect-ai-lab-2.89.157-universal","15.65","?"
"sensetime.raccoon","sensetime.raccoon-0.62.5-universal","15.62","?"
"hirosystems.clarity-lsp","hirosystems.clarity-lsp-3.8.1-universal","15.59","?"
"runql.runql-mssql","runql.runql-mssql-1.0.1-universal","15.57","?"
"sweetpad.sweetpad","sweetpad.sweetpad-0.2.7-universal","15.57","?"
"bastndev.atm","bastndev.atm-2.0.0-universal","15.47","?"
"opencj.cangjie","opencj.cangjie-0.3.0-universal","15.47","?"
"zenclabs.previewjs","zenclabs.previewjs-1.28.1","15.44","?"
"mazen-aissa.java-mcp-debugger","mazen-aissa.java-mcp-debugger-0.1.0-universal","15.43","?"
"the-e3n.block-highlighter","the-e3n.block-highlighter-2.1.0-universal","15.43","?"
"ric-v.postgres-explorer-nightly","ric-v.postgres-explorer-nightly-2.3.0-universal","15.34","?"
"enavarre.jotflow","enavarre.jotflow-2.8.5-universal","15.31","?"
"prateekmahendrakar.resxpress","prateekmahendrakar.resxpress-7.8.0-universal","15.27","?"
"chrisatwindsurf.mono-debug","chrisatwindsurf.mono-debug-0.16.3","15.25","?"
"ric-v.postgres-explorer","ric-v.postgres-explorer-2.2.0-universal","15.19","?"
"ritwickdey.liveserver","ritwickdey.liveserver-5.7.10-universal","15.09","?"
"polixir.polixir-revive","polixir.polixir-revive-1.1.1-universal","15.08","?"
"purecontext.human-markdown","purecontext.human-markdown-0.5.5-universal","15.01","?"
"vxplain.vxplain","vxplain.vxplain-1.1.12-universal","14.96","?"
"rodhayl.multi-purpose-agent-trae","rodhayl.multi-purpose-agent-trae-1.0.0-universal","14.93","?"
"trunghieu1414.antigravity-with-telegram","trunghieu1414.antigravity-with-telegram-1.0.7-universal","14.91","?"
"runtimeverification.simbolik","runtimeverification.simbolik-15.0.1-universal","14.88","?"
"dart-code.dart-code","dart-code.dart-code-3.138.0-universal","14.88","?"
"jaynightmare.jupyter-export","jaynightmare.jupyter-export-0.0.4-universal","14.87","?"
"nogic.nogic","nogic.nogic-0.2.5-universal","14.75","?"
"codedart.codex-dart-pro","codedart.codex-dart-pro-3.123.20251129","14.72","?"
"openpia.openpia-agent","openpia.openpia-agent-1.1.1-universal","14.71","?"
"remote-ai-coder.remote-ai-coder-extension","remote-ai-coder.remote-ai-coder-extension-1.2.1-universal","14.67","?"
"uginy.telecode-ai","uginy.telecode-ai-0.1.20-universal","14.52","?"
"ifkash.kernel-orbit","ifkash.kernel-orbit-0.2.1-universal","14.47","?"
"kodezi.kodezi","kodezi.kodezi-2.2.0-universal","14.33","?"
"sema4ai.sema4ai-data-access","sema4ai.sema4ai-data-access-1.5.0-universal","14.27","?"
"sameeraijaz.jeera-to-excel","sameeraijaz.jeera-to-excel-1.0.0-universal","14.23","?"
"murbani.vscode-abap-remote-fs","murbani.vscode-abap-remote-fs-2.6.5-universal","14.18","?"
"kymostudio.kymostudio-vscode","kymostudio.kymostudio-vscode-0.4.10-universal","14.03","?"
"esbenp.prettier-vscode","esbenp.prettier-vscode-12.4.0-universal","14.01","?"
"surfer-project.surfer","surfer-project.surfer-0.7.1001445-universal","14","?"
"guptasachinn.heaplens","guptasachinn.heaplens-1.0.21-win32-x64","13.98","?"
"datamart.dm-vscode-fleet","datamart.dm-vscode-fleet-1.18.0-universal","13.8","?"
"liveflow.liveflow","liveflow.liveflow-0.1.0-universal","13.74","?"
"dataflint.dataflint-copilot","dataflint.dataflint-copilot-1.0.436-universal","13.69","?"
"devdoq.devdoq-mcp-client","devdoq.devdoq-mcp-client-0.1.6-universal","13.67","?"
"versavoiceai.versavoice-ai","versavoiceai.versavoice-ai-1.5.2-universal","13.65","?"
"vincentarel-bundock.scrutin-runner","vincentarel-bundock.scrutin-runner-0.0.21-win32-x64","13.65","?"
"vinuthomas.csv-clearview","vinuthomas.csv-clearview-1.3.1-universal","13.64","?"
"garmin.monkey-c","garmin.monkey-c-1.1.3-universal","13.57","?"
"metalbear.mirrord","metalbear.mirrord-3.70.0-universal","13.56","?"
"intraview.intraview","intraview.intraview-1.0.1-universal","13.48","?"
"greenlight.greenlight-vs","greenlight.greenlight-vs-0.30.36-universal","13.48","?"
"eclipse-cdt.cdt-gdb-vscode","eclipse-cdt.cdt-gdb-vscode-2.8.0-universal","13.32","?"
"posit.assistant","posit.assistant-0.7.0-universal","13.29","?"
"wuunuai.wuunu-ai-extension","wuunuai.wuunu-ai-extension-0.1.15-universal","13.28","?"
"lawrencericher.visual-markdown-editor","lawrencericher.visual-markdown-editor-2.4.1-universal","13.24","?"
"saropa.drift-viewer","saropa.drift-viewer-4.2.0-universal","13.2","?"
"hubspire.hubai","hubspire.hubai-0.8.0-universal","13.09","?"
"cucumberopen.cucumber-official","cucumberopen.cucumber-official-1.11.0-universal","13.09","?"
"hummingbird-md.hummingbird-md","hummingbird-md.hummingbird-md-0.3.0-universal","13","?"
"xray-lang.xray-lang","xray-lang.xray-lang-1.2.8-win32-x64","12.97","?"
"gamedevtoi.gdt-unity-mcp-server","gamedevtoi.gdt-unity-mcp-server-0.1.13-universal","12.95","?"
"owenrumney.boltdb-explorer","owenrumney.boltdb-explorer-1.0.6-universal","12.88","?"
"meerkatio.meerkatio","meerkatio.meerkatio-1.11.0-universal","12.85","?"
"lrstanley.excalidraw-editor","lrstanley.excalidraw-editor-3.7.4-universal","12.84","?"
"zazuko.sparql-notebook","zazuko.sparql-notebook-1.0.14-universal","12.82","?"
"xupracorp.drylake","xupracorp.drylake-0.7.5-universal","12.78","?"
"gvgramazio.jasperreports","gvgramazio.jasperreports-2.5.0-universal","12.73","?"
"turintech.artemisai","turintech.artemisai-0.3.8-universal","12.7","?"
"chrishadi.inklink","chrishadi.inklink-0.2.4-universal","12.68","?"
"dmitriikholkin.rapidb","dmitriikholkin.rapidb-0.1.14-universal","12.64","?"
"mylonics.bmp-debug","mylonics.bmp-debug-0.1.0-universal","12.58","?"
"fabioz.vscode-pydev-python-debugger","fabioz.vscode-pydev-python-debugger-0.3.0-universal","12.54","?"
"heytalepazguato.event-horizon-vscode","heytalepazguato.event-horizon-vscode-3.0.4-universal","12.52","?"
"soubhikdevtools.dot-liquid-template-debugger","soubhikdevtools.dot-liquid-template-debugger-2.2.7-universal","12.51","?"
"microchip.mplab-ui","microchip.mplab-ui-1.9.1-universal","12.48","?"
"ranch-hand-robotics.rde-ros-2","ranch-hand-robotics.rde-ros-2-1.0.9-universal","12.47","?"
"toppymicroservices.vscode-pdfviewer-secure","toppymicroservices.vscode-pdfviewer-secure-2.0.5-universal","12.36","?"
"qwtel.sqlite-viewer","qwtel.sqlite-viewer-26.2.5-win32-x64","12.35","?"
"hyperide.hypercanvas-preview","hyperide.hypercanvas-preview-0.1.70-universal","12.33","?"
"heavenai.heaven-ai","heavenai.heaven-ai-1.0.4-universal","12.32","?"
"codemate.codemate-ai","codemate.codemate-ai-2.9.2-universal","12.27","?"
"zhijiewong.viber","zhijiewong.viber-0.1.3-universal","12.22","?"
"modexai.modex-vscode","modexai.modex-vscode-0.1.7-universal","12.22","?"
"gitanyupdate.git-any-update","gitanyupdate.git-any-update-0.2.3-universal","12.22","?"
"redhat.vscode-debug-adapter-apache-camel","redhat.vscode-debug-adapter-apache-camel-1.10.0-universal","12.21","?"
"runql.runql-databricks","runql.runql-databricks-1.1.0-universal","12.2","?"
"cyfrin.aderyn","cyfrin.aderyn-0.0.38-universal","12.2","?"
"timoa.workflow-visual-editor","timoa.workflow-visual-editor-1.2.47-universal","12.17","?"
"pawelhuryn.grok-vscode-phuryn","pawelhuryn.grok-vscode-phuryn-1.5.14-universal","12.13","?"
"zowe.vscode-extension-for-zowe","zowe.vscode-extension-for-zowe-3.5.1-universal","12.03","?"
"ranch-hand-robotics.rde-ros-1","ranch-hand-robotics.rde-ros-1-1.0.2-universal","11.96","?"
"martinortiz.codex-stats","martinortiz.codex-stats-1.0.3-universal","11.93","?"
"uqbar.wollok-lsp-ide","uqbar.wollok-lsp-ide-0.5.3-universal","11.84","?"
"timefly.timeflydev","timefly.timeflydev-3.0.7-universal","11.84","?"
"embedd-team.embedd-cortex-debug","embedd-team.embedd-cortex-debug-1.14.8","11.83","?"
"cheshirecatai.cheshire-cat-ai","cheshirecatai.cheshire-cat-ai-0.0.7-universal","11.83","?"
"rytora.rytora-code-indexing","rytora.rytora-code-indexing-1.0.7-universal","11.72","?"
"dawanse.profunc","dawanse.profunc-0.5.0-universal","11.69","?"
"suhaibbinyounis.github-copilot-api-vscode","suhaibbinyounis.github-copilot-api-vscode-2.14.1-universal","11.69","?"
"codestoryai.sota-swe","codestoryai.sota-swe-0.0.10-universal","11.59","?"
"marus25.cortex-debug","marus25.cortex-debug-1.13.0-pre6-universal","11.52","?"
"mkmlsvt.go-coverage-tree","mkmlsvt.go-coverage-tree-1.0.3-universal","11.51","?"
"ryancreary.chattomarket","ryancreary.chattomarket-0.6.5-universal","11.5","?"
"ishwardattmishra.realm-vscode","ishwardattmishra.realm-vscode-0.3.2-win32-x64","11.45","?"
"buvan.sql-crack","buvan.sql-crack-0.9.1-universal","11.39","?"
"imandra.imandra-code-logician","imandra.imandra-code-logician-0.2.4","11.32","?"
"winse.parquet-explr","winse.parquet-explr-0.5.1-universal","11.26","?"
"mununki.vscode-bibimbob","mununki.vscode-bibimbob-0.8.4-universal","11.23","?"
"waclock.node-modules-inspector","waclock.node-modules-inspector-1.3.0-universal","11.17","?"
"twulfz.dddbml","twulfz.dddbml-0.2.6-universal","11.16","?"
"tebjan.sdsl","tebjan.sdsl-0.7.5-universal","11.14","?"
"remcohaszing.markdown-decorations","remcohaszing.markdown-decorations-0.1.1","11.13","?"
"markusvankempen.wxo-builder","markusvankempen.wxo-builder-1.7.5-universal","11.11","?"
"karolinefinstad9821.gemini-coder","karolinefinstad9821.gemini-coder-1.903.1-universal","11.06","?"
"inlang.vs-code-extension","inlang.vs-code-extension-2.3.3-universal","11.02","?"
"kyntrack.local-py","kyntrack.local-py-2023.23.0-dev","10.99","?"
"rizkykurniawan.dbml-previewer","rizkykurniawan.dbml-previewer-1.5.0-universal","10.94","?"
"miragon-gmbh.vs-code-bpmn-modeler","miragon-gmbh.vs-code-bpmn-modeler-1.4.0-universal","10.77","?"
"unhook.unhook-vscode","unhook.unhook-vscode-0.4.0-universal","10.73","?"
"ntluong95.positron-julia","ntluong95.positron-julia-0.2.1-universal","10.65","?"
"friddle.tailwind-sail","friddle.tailwind-sail-0.1.8-universal","10.56","?"
"mfbzme.standboy","mfbzme.standboy-0.3.1-universal","10.52","?"
"tmonk.stata-workbench","tmonk.stata-workbench-1.1.1-win32-x64","10.5","?"
"github.vscode-codeql","github.vscode-codeql-1.17.7-universal","10.5","?"
"sparkcore.anti-remote-pro","sparkcore.anti-remote-pro-6.9.3-universal","10.5","?"
"watchapi.watchapi-client","watchapi.watchapi-client-0.4.11-universal","10.43","?"
"zazuko.vscode-rdf-sketch","zazuko.vscode-rdf-sketch-1.1.3-universal","10.37","?"
"sparkcore.xinghuo-windsurf","sparkcore.xinghuo-windsurf-8.4.8-universal","10.31","?"
"wu529778790.i18n-automatically","wu529778790.i18n-automatically-1.1.48-universal","10.31","?"
"kyntrack.cloudlab-python","kyntrack.cloudlab-python-0.0.4","10.29","?"
"lens.context-lens","lens.context-lens-1.0.0-win32-x64","10.28","?"
"ibm.vscode-ibmi-testing","ibm.vscode-ibmi-testing-1.3.4-universal","10.26","?"
"edukera.archetype","edukera.archetype-0.84.0","10.25","?"
"filipemarquesjesus.lanes","filipemarquesjesus.lanes-1.3.3-universal","10.25","?"
"stonewolfpc.swe-obey-me","stonewolfpc.swe-obey-me-5.3.32-universal","10.24","?"
"vibelang.vibe-language","vibelang.vibe-language-0.2.9-universal","10.18","?"
"openstax.cat","openstax.cat-1.0.0-universal","10.15","?"
"dgtalbug.dextree","dgtalbug.dextree-1.16.0-win32-x64","10.14","?"
"mytooyodev.richdown","mytooyodev.richdown-0.7.1-universal","10.13","?"
"rubberduck.rubberduck-vscode","rubberduck.rubberduck-vscode-1.18.0-universal","10.1","?"
"shahiowlkumar.docxreader","shahiowlkumar.docxreader-1.4.2-universal","10.05","?"
"github.vscode-github-actions","github.vscode-github-actions-0.32.1-universal","10.02","?"
"okahuai.okahu-ai-observability","okahuai.okahu-ai-observability-0.6.2-universal","9.92","?"
"shiroenguyen.anime-companion-vscode","shiroenguyen.anime-companion-vscode-0.5.4-universal","9.91","?"
"uladluch.mobile-ide-bridge","uladluch.mobile-ide-bridge-1.0.4-universal","9.87","?"
"uladluch.cursor-mobile-connector","uladluch.cursor-mobile-connector-1.0.176-universal","9.87","?"
"yellow-hammer.1c-platform-tools","yellow-hammer.1c-platform-tools-0.7.21-universal","9.86","?"
"leodevbro.blockman","leodevbro.blockman-1.7.8-universal","9.85","?"
"ivan-kovarin.cursor-usage-pace","ivan-kovarin.cursor-usage-pace-0.4.1-universal","9.85","?"
"sensmetry.syside-modeler","sensmetry.syside-modeler-0.10.2-win32-x64","9.84","?"
"els4nta.vscode-magic-pdf","els4nta.vscode-magic-pdf-1.2.0-universal","9.84","?"
"jakubkozera.ms-sql-manager","jakubkozera.ms-sql-manager-0.20.4-universal","9.83","?"
"shivamgupta1319.uace-dashboard","shivamgupta1319.uace-dashboard-0.2.3-universal","9.82","?"
"promptdc.promptdc-vscode","promptdc.promptdc-vscode-5.0.0-universal","9.8","?"
"multilith.multilith","multilith.multilith-0.1.1-universal","9.8","?"
"farrese.midas","farrese.midas-0.24.8-universal","9.73","?"
"sinandev.levelup","sinandev.levelup-1.2.4-universal","9.72","?"
"fe-dudu.react-query-visualizer","fe-dudu.react-query-visualizer-0.0.8-universal","9.66","?"
"wso2.hurl-client","wso2.hurl-client-0.9.3-universal","9.59","?"
"takashi-uchida.vscode-office-viewer","takashi-uchida.vscode-office-viewer-0.3.2-universal","9.58","?"
"jinqishen.markdown-review","jinqishen.markdown-review-5.1.9-universal","9.56","?"
"corrdex.corrdex","corrdex.corrdex-1.0.21-universal","9.56","?"
"revaturepro-non-prod.revature-angular-labs-non-prod","revaturepro-non-prod.revature-angular-labs-non-prod-0.0.7-universal","9.55","?"
"revaturepro.revature-angular-labs","revaturepro.revature-angular-labs-0.0.5-universal","9.54","?"
"kyntrack.revpro-karma-test-explorer","kyntrack.revpro-karma-test-explorer-0.0.64-universal","9.52","?"
"jebbs.plantuml","jebbs.plantuml-2.18.1-universal","9.52","?"
"statelyai.stately-vscode","statelyai.stately-vscode-2.1.0-universal","9.51","?"
"yonghe.airalogy-markdown-studio","yonghe.airalogy-markdown-studio-0.5.11-win32-x64","9.48","?"
"shahabbahreinijangjoo.ai-commit-assistant","shahabbahreinijangjoo.ai-commit-assistant-5.0.6-universal","9.48","?"
"wmccrthy.luau-ast-explorer","wmccrthy.luau-ast-explorer-0.1.13-universal","9.46","?"
"hatchet-dev.hatchet","hatchet-dev.hatchet-0.2.3-universal","9.44","?"
"scienfy.sciemd-vscode","scienfy.sciemd-vscode-1.1.0-universal","9.37","?"
"ubonpatrusm.serverpulse","ubonpatrusm.serverpulse-2.1.0-universal","9.35","?"
"narasimapandiyan.jetbrainsmono","narasimapandiyan.jetbrainsmono-1.0.3-universal","9.31","?"
"markvely.uicanvas","markvely.uicanvas-1.3.1-universal","9.29","?"
"pug.pug-ai","pug.pug-ai-0.0.5-universal","9.23","?"
"kylinideteam.vscode-java-pack","kylinideteam.vscode-java-pack-0.1.10-universal","9.19","?"
"telerik.nativescript","telerik.nativescript-0.11.0-universal","9.18","?"
"robertpiosik.gemini-coder","robertpiosik.gemini-coder-1.977.0-universal","9.14","?"
"devsessioncanvas.dev-session-canvas","devsessioncanvas.dev-session-canvas-0.24.2-universal","9.14","?"
"monk.vscode-monk","monk.vscode-monk-1.26.0-universal","9.11","?"
"litchi.matplotlib-pilot","litchi.matplotlib-pilot-0.1.0-universal","9.1","?"
"piwa.markdown-ultimate","piwa.markdown-ultimate-0.3.1-universal","9.09","?"
"jqlong.cora","jqlong.cora-0.2.6-universal","9.08","?"
"isg-cnc.vscode-isg-cnc","isg-cnc.vscode-isg-cnc-1.2.0-universal","9.08","?"
"parmentelat.vscode-jupytext","parmentelat.vscode-jupytext-0.2.0-universal","9.08","?"
"eclipse-cdt.memory-inspector","eclipse-cdt.memory-inspector-1.2.0-universal","9.07","?"
"jetbrains.hexana-wasm","jetbrains.hexana-wasm-0.6.0-universal","9.06","?"
"langstitch.langtailor-canvas","langstitch.langtailor-canvas-0.3.0-universal","9.05","?"
"jolli.jollimemory-vscode","jolli.jollimemory-vscode-0.99.7-universal","9.04","?"
"hafiz408.nexus-ai","hafiz408.nexus-ai-4.3.1-universal","9.01","?"
"stackslabs.clarity-stacks","stackslabs.clarity-stacks-3.21.1-universal","9.01","?"
"shawnchee.vscode-gemini-commit-writer","shawnchee.vscode-gemini-commit-writer-1.1.2-universal","9.01","?"
"readysteadyscience.l-hub","readysteadyscience.l-hub-0.8.2-universal","9.01","?"
"mathematic.vscode-pdf","mathematic.vscode-pdf-0.1.11-universal","8.97","?"
"nativescript.nativescript","nativescript.nativescript-0.12.5-universal","8.97","?"
"eniacode.enia-code","eniacode.enia-code-0.7.6-universal","8.97","?"
"posit.air-vscode","posit.air-vscode-0.26.0","8.95","?"
"taskr.vscode-taskr","taskr.vscode-taskr-0.1.9-universal","8.95","?"
"stateful.marquee","stateful.marquee-3.3.2-universal","8.95","?"
"rockuen.notewise-editor","rockuen.notewise-editor-0.1.45-universal","8.94","?"
"lzhs1995.stata-workbench-shared-session","lzhs1995.stata-workbench-shared-session-0.1.1-universal","8.91","?"
"ffrankreiter.answer-set-programming-language-support","ffrankreiter.answer-set-programming-language-support-1.0.8-universal","8.89","?"
"ms-kubernetes-tools.vscode-kubernetes-tools","ms-kubernetes-tools.vscode-kubernetes-tools-1.4.0-universal","8.88","?"
"varunkumar.google-input-tools","varunkumar.google-input-tools-0.0.25-universal","8.82","?"
"frehu.fresh-file-explorer","frehu.fresh-file-explorer-1.13.0-universal","8.7","?"
"repowise-dev.repowise","repowise-dev.repowise-0.3.0-universal","8.6","?"
"oderwat.indent-rainbow","oderwat.indent-rainbow-8.3.1-universal","8.57","?"
"greenplumwine.mybatis-helper-vscode","greenplumwine.mybatis-helper-vscode-1.0.4-universal","8.55","?"
"nicepkg.aide-pro","nicepkg.aide-pro-1.19.1-universal","8.55","?"
"onlyutkarsh.mermaid-diagram-lens","onlyutkarsh.mermaid-diagram-lens-2.1.2-universal","8.54","?"
"grec0.memory-bank-vscode","grec0.memory-bank-vscode-0.0.57-universal","8.52","?"
"microchip.mplab-extensions-core","microchip.mplab-extensions-core-2.2.1-universal","8.5","?"
"kerno.kerno","kerno.kerno-0.11.3-universal","8.49","?"
"deerflow.deer-prompt","deerflow.deer-prompt-1.0.6-universal","8.44","?"
"codesmith.markdown-inline-editor-vscode","codesmith.markdown-inline-editor-vscode-1.24.2-universal","8.44","?"
"scrudix.scrudix","scrudix.scrudix-5.0.34-universal","8.43","?"
"codeartscheck.codearts-check","codeartscheck.codearts-check-1.1.7-universal","8.42","?"
"posit.databot","posit.databot-0.0.44-universal","8.39","?"
"monazim.codebrief","monazim.codebrief-0.0.10-universal","8.37","?"
"oven.bun-vscode","oven.bun-vscode-0.0.32","8.36","?"
"trelent.trelent","trelent.trelent-1.3.1-universal","8.34","?"
"kioksiot.antigravity-autopilot","kioksiot.antigravity-autopilot-1.0.11-universal","8.31","?"
"cherrymarkdownpublisher.cherry-markdown","cherrymarkdownpublisher.cherry-markdown-0.3.1081718-universal","8.21","?"
"eita.gatomia","eita.gatomia-0.38.0-universal","8.21","?"
"salesforce.salesforcedx-vscode-apex-debugger","salesforce.salesforcedx-vscode-apex-debugger-67.5.0-universal","8.19","?"
"todo2.todo2","todo2.todo2-0.0.9-universal","8.17","?"
"halcyontechltd.vscode-ibmi-walkthroughs","halcyontechltd.vscode-ibmi-walkthroughs-0.5.0-universal","8.13","?"
"hypergraph-ai.hypergraph-ai","hypergraph-ai.hypergraph-ai-0.1.9-universal","8.12","?"
"kdeosingh.voice-transcription","kdeosingh.voice-transcription-1.0.5-universal","8.12","?"
"marcelocruzrpa.uipath-artifact-designer","marcelocruzrpa.uipath-artifact-designer-1.2.0-universal","8.08","?"
"jianger666.cursor-feedback","jianger666.cursor-feedback-2.7.6-universal","8.03","?"
"ducphamngoc.codevisualizer","ducphamngoc.codevisualizer-1.0.8-universal","8.01","?"
"fluent-source.fluent-source","fluent-source.fluent-source-1.0.2-universal","7.99","?"
"bvpav.rcdbg","bvpav.rcdbg-0.0.1-universal","7.98","?"
"cellaxon.ranvier-vscode","cellaxon.ranvier-vscode-0.3.1-universal","7.94","?"
"smarts-bio.smarts-bio","smarts-bio.smarts-bio-0.1.22-universal","7.92","?"
"saropa.saropa-log-capture","saropa.saropa-log-capture-9.2.3-universal","7.84","?"
"posit.publisher","posit.publisher-2.8.0","7.84","?"
"lucasygu.vibechannel","lucasygu.vibechannel-0.6.31-universal","7.83","?"
"rabisnaqvi.doclume","rabisnaqvi.doclume-0.3.1-universal","7.81","?"
"khangnghiem.fast-draft","khangnghiem.fast-draft-0.11.382-universal","7.79","?"
"sidhantsriv.visor","sidhantsriv.visor-1.6.1-universal","7.78","?"
"feiskyer.chatgpt-copilot","feiskyer.chatgpt-copilot-4.11.0-universal","7.77","?"
"imaken.fractal","imaken.fractal-0.207.61-universal","7.75","?"
"yechielby.claude-code-rtl","yechielby.claude-code-rtl-0.4.2-universal","7.74","?"
"danielsurendran.kiro-pulse","danielsurendran.kiro-pulse-2.0.0-universal","7.72","?"
"manasdutta.layr","manasdutta.layr-2.1.4-universal","7.71","?"
"intellsmi.comment-translate","intellsmi.comment-translate-3.0.0-universal","7.68","?"
"donebd.vscode-keypromoter","donebd.vscode-keypromoter-1.2.0-universal","7.68","?"
"haoyangzeng.opencui","haoyangzeng.opencui-1.8.0-universal","7.65","?"
"weppy.weppy-roblox-explorer","weppy.weppy-roblox-explorer-1.2.2-universal","7.64","?"
"sivanliu.super-markdown","sivanliu.super-markdown-1.0.0-universal","7.64","?"
"xiaolvpuzi.smart-input-pro-vscode","xiaolvpuzi.smart-input-pro-vscode-1.2.2","7.64","?"
"jacastillo-rms.promptlyjc","jacastillo-rms.promptlyjc-0.2.0-universal","7.6","?"
"streetsidesoftware.code-spell-checker","streetsidesoftware.code-spell-checker-4.6.0-universal","7.58","?"
"sqrtt.prophet","sqrtt.prophet-1.4.81-universal","7.56","?"
"devboost.devboostextension","devboost.devboostextension-0.9.3-universal","7.49","?"
"kleinicke.tiff-visualizer","kleinicke.tiff-visualizer-1.8.1-universal","7.48","?"
"kingeke.justcode-vscode","kingeke.justcode-vscode-0.4.4-universal","7.46","?"
"imaken.any-markdown","imaken.any-markdown-0.195.393-universal","7.45","?"
"salesforce.salesforcedx-vscode-apex-replay-debugger","salesforce.salesforcedx-vscode-apex-replay-debugger-67.5.0-universal","7.43","?"
"pgourlain.erlang","pgourlain.erlang-1.1.3-universal","7.41","?"
"jolocity.cursor-agent-scheduler","jolocity.cursor-agent-scheduler-1.0.1-universal","7.39","?"
"hojabri.slog-viewer","hojabri.slog-viewer-1.7.0-universal","7.39","?"
