"Name","Version","Folder","SizeMB","SizeGB","Large"
"tinkercode.trident","0.1.3-universal","C:\Users\PCCPPPCCC\.positron\extensions\tinkercode.trident-0.1.3-universal","274.68","0.268","是"
"microchip.mplab-ai-coding-assistant","1.2.4","C:\Users\PCCPPPCCC\.positron\extensions\microchip.mplab-ai-coding-assistant-1.2.4","270.66","0.264","是"
"sourcery.sourcery","1.43.0-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\sourcery.sourcery-1.43.0-win32-x64","269.78","0.263","是"
"youzan.zode","0.3.9","C:\Users\PCCPPPCCC\.positron\extensions\youzan.zode-0.3.9","268.56","0.262","是"
"salesforce.salesforcedx-einstein-gpt","4.15.0-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-einstein-gpt-4.15.0-win32-x64","262.94","0.257","是"
"rjmacarthy.twinny","3.23.31-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\rjmacarthy.twinny-3.23.31-win32-x64","261.18","0.255","是"
"anthropic.claude-code","2.1.210-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\anthropic.claude-code-2.1.210-win32-x64","249.78","0.244","是"
"pixelpilotailabs.pixelpilot-copilot","3.1.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\pixelpilotailabs.pixelpilot-copilot-3.1.1-universal","245.41","0.24","是"
"debugg-ai.debugg-ai","1.0.35","C:\Users\PCCPPPCCC\.positron\extensions\debugg-ai.debugg-ai-1.0.35","244.72","0.239","是"
"ourcelium.ourcelium","0.1.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\ourcelium.ourcelium-0.1.2-universal","243.55","0.238","是"
"kowstol.container-tool-debug","2.4.5-universal","C:\Users\PCCPPPCCC\.positron\extensions\kowstol.container-tool-debug-2.4.5-universal","238.22","0.233","是"
"google.geminicodeassist","2.91.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\google.geminicodeassist-2.91.0-universal","234.99","0.229","是"
"continue.continue","2.1.0","C:\Users\PCCPPPCCC\.positron\extensions\continue.continue-2.1.0","229.76","0.224","是"
"linkinsightlab.klaude","0.1.9-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\linkinsightlab.klaude-0.1.9-win32-x64","228.44","0.223","是"
"duplo.duplo-continue","1.3.34","C:\Users\PCCPPPCCC\.positron\extensions\duplo.duplo-continue-1.3.34","226.55","0.221","是"
"duplocloud.continue","1.3.29","C:\Users\PCCPPPCCC\.positron\extensions\duplocloud.continue-1.3.29","226.43","0.221","是"
"wct-tech.whalecloud-codingplus-vscode-plugin","1.2.8","C:\Users\PCCPPPCCC\.positron\extensions\wct-tech.whalecloud-codingplus-vscode-plugin-1.2.8","223.49","0.218","是"
"salesforce.salesforcedx-agentforce-vibes-2","0.12.14-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-agentforce-vibes-2-0.12.14-win32-x64","222.85","0.218","是"
"krugercorp.kode-x","1.15.10","C:\Users\PCCPPPCCC\.positron\extensions\krugercorp.kode-x-1.15.10","220.33","0.215","是"
"enduin.enduin","0.0.13","C:\Users\PCCPPPCCC\.positron\extensions\enduin.enduin-0.0.13","219.73","0.215","是"
"flocca.flocca","0.3.26-universal","C:\Users\PCCPPPCCC\.positron\extensions\flocca.flocca-0.3.26-universal","219.56","0.214","是"
"flyde.flyde-vscode","1.0.44-universal","C:\Users\PCCPPPCCC\.positron\extensions\flyde.flyde-vscode-1.0.44-universal","216.95","0.212","是"
"kyntrack.python-test","0.0.80-universal","C:\Users\PCCPPPCCC\.positron\extensions\kyntrack.python-test-0.0.80-universal","206.29","0.201","是"
"toolpath.support","0.2.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\toolpath.support-0.2.0-universal","206.22","0.201","是"
"rubikonlabs.codeit","0.0.73","C:\Users\PCCPPPCCC\.positron\extensions\rubikonlabs.codeit-0.0.73","204.64","0.2","是"
