"Name","Version","Folder","SizeMB","SizeGB","Large"
"casamanagementsolutions.bwat-dev","3.24.7-universal","C:\Users\PCCPPPCCC\.positron\extensions\casamanagementsolutions.bwat-dev-3.24.7-universal","6.03","0.006","否"
"casamanagementsolutions.bwat-dev","3.24.8-universal","C:\Users\PCCPPPCCC\.positron\extensions\casamanagementsolutions.bwat-dev-3.24.8-universal","6.04","0.006","否"
"codeagentmobile.codeagent-mobile","2.60.54-universal","C:\Users\PCCPPPCCC\.positron\extensions\codeagentmobile.codeagent-mobile-2.60.54-universal","6.42","0.006","否"
"codeagentmobile.codeagent-mobile","2.60.60-universal","C:\Users\PCCPPPCCC\.positron\extensions\codeagentmobile.codeagent-mobile-2.60.60-universal","6.42","0.006","否"
"codeatlaslive.codeatlas-live","8.0.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\codeatlaslive.codeatlas-live-8.0.0-universal","41.62","0.041","否"
"codeatlaslive.codeatlas-live","9.0.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\codeatlaslive.codeatlas-live-9.0.0-universal","41.67","0.041","否"
"corrdex.corrdex","1.0.19-universal","C:\Users\PCCPPPCCC\.positron\extensions\corrdex.corrdex-1.0.19-universal","9.55","0.009","否"
"corrdex.corrdex","1.0.21-universal","C:\Users\PCCPPPCCC\.positron\extensions\corrdex.corrdex-1.0.21-universal","9.56","0.009","否"
"d-biehl.robotcode","2.6.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\d-biehl.robotcode-2.6.2-universal","15.93","0.016","否"
"d-biehl.robotcode","2.7.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\d-biehl.robotcode-2.7.0-universal","16.06","0.016","否"
"databricks.databricks","2.12.2-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\databricks.databricks-2.12.2-win32-x64","172.75","0.169","否"
"databricks.databricks","2.12.3-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\databricks.databricks-2.12.3-win32-x64","174.84","0.171","否"
"dbtlabsinc.dbt","0.88.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\dbtlabsinc.dbt-0.88.0-universal","21.85","0.021","否"
"dbtlabsinc.dbt","0.90.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\dbtlabsinc.dbt-0.90.0-universal","24.11","0.024","否"
"deepx.deepv-code-vscode-ui-plugin","1.1.51-universal","C:\Users\PCCPPPCCC\.positron\extensions\deepx.deepv-code-vscode-ui-plugin-1.1.51-universal","24.69","0.024","否"
"deepx.deepv-code-vscode-ui-plugin","1.1.53-universal","C:\Users\PCCPPPCCC\.positron\extensions\deepx.deepv-code-vscode-ui-plugin-1.1.53-universal","24.73","0.024","否"
"devmesh.devmesh-challenges","0.1.13-universal","C:\Users\PCCPPPCCC\.positron\extensions\devmesh.devmesh-challenges-0.1.13-universal","42.8","0.042","否"
"devmesh.devmesh-challenges","0.1.15-universal","C:\Users\PCCPPPCCC\.positron\extensions\devmesh.devmesh-challenges-0.1.15-universal","53.82","0.053","否"
"devsessioncanvas.dev-session-canvas","0.24.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\devsessioncanvas.dev-session-canvas-0.24.1-universal","9.08","0.009","否"
"devsessioncanvas.dev-session-canvas","0.24.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\devsessioncanvas.dev-session-canvas-0.24.2-universal","9.14","0.009","否"
"devsessioncanvas.dev-session-canvas-notifier","0.24.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\devsessioncanvas.dev-session-canvas-notifier-0.24.1-universal","0.42","0","否"
"devsessioncanvas.dev-session-canvas-notifier","0.24.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\devsessioncanvas.dev-session-canvas-notifier-0.24.2-universal","0.42","0","否"
"dmitriikholkin.rapidb","0.1.13-universal","C:\Users\PCCPPPCCC\.positron\extensions\dmitriikholkin.rapidb-0.1.13-universal","12.64","0.012","否"
"dmitriikholkin.rapidb","0.1.14-universal","C:\Users\PCCPPPCCC\.positron\extensions\dmitriikholkin.rapidb-0.1.14-universal","12.64","0.012","否"
"duclvz.acp-pro","0.2.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\duclvz.acp-pro-0.2.2-universal","1.77","0.002","否"
"duclvz.acp-pro","0.2.3-universal","C:\Users\PCCPPPCCC\.positron\extensions\duclvz.acp-pro-0.2.3-universal","1.77","0.002","否"
"epochix.epochix","0.5.11-universal","C:\Users\PCCPPPCCC\.positron\extensions\epochix.epochix-0.5.11-universal","0.4","0","否"
"epochix.epochix","0.5.17-universal","C:\Users\PCCPPPCCC\.positron\extensions\epochix.epochix-0.5.17-universal","0.4","0","否"
