"Name","Version","Folder","SizeMB","SizeGB","Large"
"estock.estock-watcher","0.8.15-universal","C:\Users\PCCPPPCCC\.positron\extensions\estock.estock-watcher-0.8.15-universal","0.3","0","否"
"estock.estock-watcher","0.9.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\estock.estock-watcher-0.9.0-universal","0.31","0","否"
"fridaplatform.frida-extension","2.1.17-universal","C:\Users\PCCPPPCCC\.positron\extensions\fridaplatform.frida-extension-2.1.17-universal","44.47","0.043","否"
"fridaplatform.frida-extension","2.1.19-universal","C:\Users\PCCPPPCCC\.positron\extensions\fridaplatform.frida-extension-2.1.19-universal","44.5","0.043","否"
"gemtalksystems.gemstone-ide","1.8.3-universal","C:\Users\PCCPPPCCC\.positron\extensions\gemtalksystems.gemstone-ide-1.8.3-universal","41.92","0.041","否"
"gemtalksystems.gemstone-ide","1.8.4-universal","C:\Users\PCCPPPCCC\.positron\extensions\gemtalksystems.gemstone-ide-1.8.4-universal","41.95","0.041","否"
"hakalabchile.haka-ai-studio","1.2.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\hakalabchile.haka-ai-studio-1.2.0-universal","20.46","0.02","否"
"hakalabchile.haka-ai-studio","1.4.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\hakalabchile.haka-ai-studio-1.4.0-universal","20.5","0.02","否"
"hyperide.hypercanvas-preview","0.1.69-universal","C:\Users\PCCPPPCCC\.positron\extensions\hyperide.hypercanvas-preview-0.1.69-universal","12.33","0.012","否"
"hyperide.hypercanvas-preview","0.1.70-universal","C:\Users\PCCPPPCCC\.positron\extensions\hyperide.hypercanvas-preview-0.1.70-universal","12.33","0.012","否"
"hyperprobe.hyperprobe-extension","1.2.20-universal","C:\Users\PCCPPPCCC\.positron\extensions\hyperprobe.hyperprobe-extension-1.2.20-universal","1.11","0.001","否"
"hyperprobe.hyperprobe-extension","1.2.22-universal","C:\Users\PCCPPPCCC\.positron\extensions\hyperprobe.hyperprobe-extension-1.2.22-universal","1.11","0.001","否"
"iair0007.cursor-usage-dashboard","0.4.3-universal","C:\Users\PCCPPPCCC\.positron\extensions\iair0007.cursor-usage-dashboard-0.4.3-universal","1.39","0.001","否"
"iair0007.cursor-usage-dashboard","0.4.4-universal","C:\Users\PCCPPPCCC\.positron\extensions\iair0007.cursor-usage-dashboard-0.4.4-universal","1.39","0.001","否"
"igorganapolsky.thumbgate","1.28.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\igorganapolsky.thumbgate-1.28.0-universal","0.14","0","否"
"igorganapolsky.thumbgate","1.28.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\igorganapolsky.thumbgate-1.28.1-universal","0.14","0","否"
"inlang.vs-code-extension","2.3.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\inlang.vs-code-extension-2.3.2-universal","9.94","0.01","否"
"inlang.vs-code-extension","2.3.3-universal","C:\Users\PCCPPPCCC\.positron\extensions\inlang.vs-code-extension-2.3.3-universal","11.02","0.011","否"
"inthepond.agent-view-for-claude-code","0.5.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\inthepond.agent-view-for-claude-code-0.5.0-universal","0.77","0.001","否"
"inthepond.agent-view-for-claude-code","0.6.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\inthepond.agent-view-for-claude-code-0.6.0-universal","0.87","0.001","否"
"jacquesgariepy.out-of-code-insights","1.4.3-universal","C:\Users\PCCPPPCCC\.positron\extensions\jacquesgariepy.out-of-code-insights-1.4.3-universal","4.97","0.005","否"
"jacquesgariepy.out-of-code-insights","1.4.4-universal","C:\Users\PCCPPPCCC\.positron\extensions\jacquesgariepy.out-of-code-insights-1.4.4-universal","5.34","0.005","否"
"jianger666.cursor-feedback","2.7.5-universal","C:\Users\PCCPPPCCC\.positron\extensions\jianger666.cursor-feedback-2.7.5-universal","8.03","0.008","否"
"jianger666.cursor-feedback","2.7.6-universal","C:\Users\PCCPPPCCC\.positron\extensions\jianger666.cursor-feedback-2.7.6-universal","8.03","0.008","否"
"jigneshkotia.resuggestor","0.0.10-universal","C:\Users\PCCPPPCCC\.positron\extensions\jigneshkotia.resuggestor-0.0.10-universal","92.15","0.09","否"
"jigneshkotia.resuggestor","0.0.9-universal","C:\Users\PCCPPPCCC\.positron\extensions\jigneshkotia.resuggestor-0.0.9-universal","0.66","0.001","否"
"kide.kide-test-explorer","26.7.190-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\kide.kide-test-explorer-26.7.190-win32-x64","301.28","0.294","是"
"kide.kide-test-explorer","26.7.196-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\kide.kide-test-explorer-26.7.196-win32-x64","302.32","0.295","是"
"konveyor.konveyor","0.6.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-0.6.1-universal","0.04","0","否"
"konveyor.konveyor","0.6.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-0.6.2-universal","0.04","0","否"
"konveyor.konveyor-core","0.6.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-core-0.6.1-universal","150.96","0.147","否"
"konveyor.konveyor-core","0.6.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-core-0.6.2-universal","150.96","0.147","否"
"konveyor.konveyor-csharp","0.6.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-csharp-0.6.1-universal","97.22","0.095","否"
"konveyor.konveyor-csharp","0.6.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-csharp-0.6.2-universal","97.22","0.095","否"
"konveyor.konveyor-go","0.6.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-go-0.6.1-universal","118.24","0.115","否"
"konveyor.konveyor-go","0.6.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-go-0.6.2-universal","118.24","0.115","否"
"konveyor.konveyor-java","0.6.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-java-0.6.1-universal","107.24","0.105","否"
"konveyor.konveyor-java","0.6.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-java-0.6.2-universal","107.24","0.105","否"
"konveyor.konveyor-javascript","0.6.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-javascript-0.6.1-universal","2","0.002","否"
"konveyor.konveyor-javascript","0.6.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\konveyor.konveyor-javascript-0.6.2-universal","2","0.002","否"
"laurentongaro.aiflowbridge","2.14.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\laurentongaro.aiflowbridge-2.14.0-universal","5.75","0.006","否"
"laurentongaro.aiflowbridge","2.15.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\laurentongaro.aiflowbridge-2.15.1-universal","5.95","0.006","否"
"llvm-vs-code-extensions.lldb-dap","0.7.20260713-universal","C:\Users\PCCPPPCCC\.positron\extensions\llvm-vs-code-extensions.lldb-dap-0.7.20260713-universal","1.25","0.001","否"
"llvm-vs-code-extensions.lldb-dap","0.7.20260714-universal","C:\Users\PCCPPPCCC\.positron\extensions\llvm-vs-code-extensions.lldb-dap-0.7.20260714-universal","1.25","0.001","否"
"mainul-islam.tiermux","0.1.6-universal","C:\Users\PCCPPPCCC\.positron\extensions\mainul-islam.tiermux-0.1.6-universal","2.69","0.003","否"
"mainul-islam.tiermux","0.1.9-universal","C:\Users\PCCPPPCCC\.positron\extensions\mainul-islam.tiermux-0.1.9-universal","2.91","0.003","否"
"meterian.meterian-heidi","1.21.3-universal","C:\Users\PCCPPPCCC\.positron\extensions\meterian.meterian-heidi-1.21.3-universal","44.43","0.043","否"
"meterian.meterian-heidi","1.21.4-universal","C:\Users\PCCPPPCCC\.positron\extensions\meterian.meterian-heidi-1.21.4-universal","44.54","0.043","否"
"microi.v8-engine","3.6.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\microi.v8-engine-3.6.2-universal","3.75","0.004","否"
"microi.v8-engine","3.6.7-universal","C:\Users\PCCPPPCCC\.positron\extensions\microi.v8-engine-3.6.7-universal","3.78","0.004","否"
"multi.multi-nightly","0.0.115-universal","C:\Users\PCCPPPCCC\.positron\extensions\multi.multi-nightly-0.0.115-universal","16.99","0.017","否"
"multi.multi-nightly","0.0.116-universal","C:\Users\PCCPPPCCC\.positron\extensions\multi.multi-nightly-0.0.116-universal","17.1","0.017","否"
"neosyn.neosyn-cg","2.6.12-universal","C:\Users\PCCPPPCCC\.positron\extensions\neosyn.neosyn-cg-2.6.12-universal","18.67","0.018","否"
"neosyn.neosyn-cg","2.7.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\neosyn.neosyn-cg-2.7.0-universal","18.68","0.018","否"
"neural-llm.power-claude","3.0.82-universal","C:\Users\PCCPPPCCC\.positron\extensions\neural-llm.power-claude-3.0.82-universal","41.38","0.04","否"
"neural-llm.power-claude","3.0.86-universal","C:\Users\PCCPPPCCC\.positron\extensions\neural-llm.power-claude-3.0.86-universal","48.93","0.048","否"
"numlia-vs.git-keizu","0.8.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\numlia-vs.git-keizu-0.8.0-universal","0.41","0","否"
"numlia-vs.git-keizu","0.8.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\numlia-vs.git-keizu-0.8.1-universal","0.41","0","否"
"ontocode.ontocode","0.20.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\ontocode.ontocode-0.20.0-universal","141.4","0.138","否"
"ontocode.ontocode","0.24.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\ontocode.ontocode-0.24.0-universal","152.52","0.149","否"
"openai.chatgpt","26.5623.141536-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\openai.chatgpt-26.5623.141536-win32-x64","724.61","0.708","是"
"openai.chatgpt","26.5707.71524-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\openai.chatgpt-26.5707.71524-win32-x64","876.89","0.856","是"
"pawelhuryn.grok-vscode-phuryn","1.5.13-universal","C:\Users\PCCPPPCCC\.positron\extensions\pawelhuryn.grok-vscode-phuryn-1.5.13-universal","12.13","0.012","否"
"pawelhuryn.grok-vscode-phuryn","1.5.14-universal","C:\Users\PCCPPPCCC\.positron\extensions\pawelhuryn.grok-vscode-phuryn-1.5.14-universal","12.13","0.012","否"
"physicar.physicar-ext","0.1.17-universal","C:\Users\PCCPPPCCC\.positron\extensions\physicar.physicar-ext-0.1.17-universal","4.15","0.004","否"
"physicar.physicar-ext","0.1.19-universal","C:\Users\PCCPPPCCC\.positron\extensions\physicar.physicar-ext-0.1.19-universal","4.15","0.004","否"
"qwenlm.qwen-code-vscode-ide-companion","0.19.10-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\qwenlm.qwen-code-vscode-ide-companion-0.19.10-win32-x64","112.31","0.11","否"
"qwenlm.qwen-code-vscode-ide-companion","0.19.9-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\qwenlm.qwen-code-vscode-ide-companion-0.19.9-win32-x64","110.77","0.108","否"
"rust-lang.rust-analyzer","0.4.2970-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\rust-lang.rust-analyzer-0.4.2970-win32-x64","52.64","0.051","否"
"rust-lang.rust-analyzer","0.4.2972-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\rust-lang.rust-analyzer-0.4.2972-win32-x64","52.69","0.051","否"
"salesforce.salesforcedx-vscode-apex","67.4.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-apex-67.4.0-universal","25.5","0.025","否"
"salesforce.salesforcedx-vscode-apex","67.5.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-apex-67.5.0-universal","24.57","0.024","否"
"salesforce.salesforcedx-vscode-apex-debugger","67.4.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-apex-debugger-67.4.0-universal","9.36","0.009","否"
"salesforce.salesforcedx-vscode-apex-debugger","67.5.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-apex-debugger-67.5.0-universal","8.19","0.008","否"
"salesforce.salesforcedx-vscode-apex-log","67.4.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-apex-log-67.4.0-universal","2.99","0.003","否"
"salesforce.salesforcedx-vscode-apex-log","67.5.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-apex-log-67.5.0-universal","1.63","0.002","否"
"salesforce.salesforcedx-vscode-apex-replay-debugger","67.4.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-apex-replay-debugger-67.4.0-universal","8.71","0.009","否"
"salesforce.salesforcedx-vscode-apex-replay-debugger","67.5.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-apex-replay-debugger-67.5.0-universal","7.43","0.007","否"
"salesforce.salesforcedx-vscode-core","67.4.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-core-67.4.0-universal","26.16","0.026","否"
"salesforce.salesforcedx-vscode-core","67.5.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-core-67.5.0-universal","24.94","0.024","否"
"salesforce.salesforcedx-vscode-services","66.12.3-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-services-66.12.3-universal","21.67","0.021","否"
"salesforce.salesforcedx-vscode-services","67.4.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-services-67.4.0-universal","32.26","0.032","否"
"saoudrizwan.cline-nightly","4.0.1783947573-universal","C:\Users\PCCPPPCCC\.positron\extensions\saoudrizwan.cline-nightly-4.0.1783947573-universal","28.8","0.028","否"
"saoudrizwan.cline-nightly","4.0.1784073013-universal","C:\Users\PCCPPPCCC\.positron\extensions\saoudrizwan.cline-nightly-4.0.1784073013-universal","28.85","0.028","否"
"shanjidarefin.c-through","2.2.11-universal","C:\Users\PCCPPPCCC\.positron\extensions\shanjidarefin.c-through-2.2.11-universal","1.02","0.001","否"
"shanjidarefin.c-through","2.2.9-universal","C:\Users\PCCPPPCCC\.positron\extensions\shanjidarefin.c-through-2.2.9-universal","1.01","0.001","否"
"shopify.theme-check-vscode","3.11.5-universal","C:\Users\PCCPPPCCC\.positron\extensions\shopify.theme-check-vscode-3.11.5-universal","58.83","0.057","否"
"shopify.theme-check-vscode","3.11.6-universal","C:\Users\PCCPPPCCC\.positron\extensions\shopify.theme-check-vscode-3.11.6-universal","58.88","0.057","否"
"smarts-bio.smarts-bio","0.1.21-universal","C:\Users\PCCPPPCCC\.positron\extensions\smarts-bio.smarts-bio-0.1.21-universal","7.92","0.008","否"
"smarts-bio.smarts-bio","0.1.22-universal","C:\Users\PCCPPPCCC\.positron\extensions\smarts-bio.smarts-bio-0.1.22-universal","7.92","0.008","否"
"sourcegraph.cody-testing","1.156.1783904032-universal","C:\Users\PCCPPPCCC\.positron\extensions\sourcegraph.cody-testing-1.156.1783904032-universal","142.1","0.139","否"
"sourcegraph.cody-testing","1.156.1783990065-universal","C:\Users\PCCPPPCCC\.positron\extensions\sourcegraph.cody-testing-1.156.1783990065-universal","142.1","0.139","否"
"surfer-project.surfer","0.7.1001443-universal","C:\Users\PCCPPPCCC\.positron\extensions\surfer-project.surfer-0.7.1001443-universal","14","0.014","否"
"surfer-project.surfer","0.7.1001445-universal","C:\Users\PCCPPPCCC\.positron\extensions\surfer-project.surfer-0.7.1001445-universal","14","0.014","否"
"swarmify.swarm-ext","0.9.291-universal","C:\Users\PCCPPPCCC\.positron\extensions\swarmify.swarm-ext-0.9.291-universal","87.64","0.086","否"
"swarmify.swarm-ext","0.9.292-universal","C:\Users\PCCPPPCCC\.positron\extensions\swarmify.swarm-ext-0.9.292-universal","87.67","0.086","否"
"the-long-ride.vscode-extension-markdown-explorer","1.5.7-universal","C:\Users\PCCPPPCCC\.positron\extensions\the-long-ride.vscode-extension-markdown-explorer-1.5.7-universal","19.36","0.019","否"
"the-long-ride.vscode-extension-markdown-explorer","1.5.9-universal","C:\Users\PCCPPPCCC\.positron\extensions\the-long-ride.vscode-extension-markdown-explorer-1.5.9-universal","19.37","0.019","否"
"tooltitudeteam.tooltitude","1.53.0-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\tooltitudeteam.tooltitude-1.53.0-win32-x64","19.05","0.019","否"
"tooltitudeteam.tooltitude","1.53.1-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\tooltitudeteam.tooltitude-1.53.1-win32-x64","19.05","0.019","否"
"transitrix.transitrix-studio","3.0.6-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\transitrix.transitrix-studio-3.0.6-win32-x64","26.73","0.026","否"
"transitrix.transitrix-studio","3.0.7-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\transitrix.transitrix-studio-3.0.7-win32-x64","26.68","0.026","否"
"txahub.txamcp-vscode","3.4.22-universal","C:\Users\PCCPPPCCC\.positron\extensions\txahub.txamcp-vscode-3.4.22-universal","0.6","0.001","否"
"txahub.txamcp-vscode","4.0.3-universal","C:\Users\PCCPPPCCC\.positron\extensions\txahub.txamcp-vscode-4.0.3-universal","0.6","0.001","否"
"unode.unodeai","0.9.29-universal","C:\Users\PCCPPPCCC\.positron\extensions\unode.unodeai-0.9.29-universal","2.6","0.003","否"
"unode.unodeai","0.9.30-universal","C:\Users\PCCPPPCCC\.positron\extensions\unode.unodeai-0.9.30-universal","2.73","0.003","否"
"valferon.session-control-center","0.1.14-universal","C:\Users\PCCPPPCCC\.positron\extensions\valferon.session-control-center-0.1.14-universal","0.1","0","否"
"valferon.session-control-center","0.1.15-universal","C:\Users\PCCPPPCCC\.positron\extensions\valferon.session-control-center-0.1.15-universal","0.1","0","否"
"vaulttec-dev.snakeflow-dev-manager","0.5.38-universal","C:\Users\PCCPPPCCC\.positron\extensions\vaulttec-dev.snakeflow-dev-manager-0.5.38-universal","4.76","0.005","否"
"vaulttec-dev.snakeflow-dev-manager","0.6.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\vaulttec-dev.snakeflow-dev-manager-0.6.0-universal","4.75","0.005","否"
"vexp.vexp-vscode","2.1.7-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\vexp.vexp-vscode-2.1.7-win32-x64","81.01","0.079","否"
"vexp.vexp-vscode","2.2.0-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\vexp.vexp-vscode-2.2.0-win32-x64","81.04","0.079","否"
"vmware.vscode-spring-boot","2.3.2026071100-universal","C:\Users\PCCPPPCCC\.positron\extensions\vmware.vscode-spring-boot-2.3.2026071100-universal","87.18","0.085","否"
"vmware.vscode-spring-boot","2.3.2026071400-universal","C:\Users\PCCPPPCCC\.positron\extensions\vmware.vscode-spring-boot-2.3.2026071400-universal","87.18","0.085","否"
"vs-code-database-client.vscode-data-grip","0.0.13-universal","C:\Users\PCCPPPCCC\.positron\extensions\vs-code-database-client.vscode-data-grip-0.0.13-universal","19.14","0.019","否"
"vs-code-database-client.vscode-data-grip","0.0.14-universal","C:\Users\PCCPPPCCC\.positron\extensions\vs-code-database-client.vscode-data-grip-0.0.14-universal","19.58","0.019","否"
"wallabyjs.console-ninja","1.0.534-universal","C:\Users\PCCPPPCCC\.positron\extensions\wallabyjs.console-ninja-1.0.534-universal","57.21","0.056","否"
"wallabyjs.console-ninja","1.0.536-universal","C:\Users\PCCPPPCCC\.positron\extensions\wallabyjs.console-ninja-1.0.536-universal","57.21","0.056","否"
"waylongleon.sightread","1.1.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\waylongleon.sightread-1.1.2-universal","0.09","0","否"
"waylongleon.sightread","1.3.2-universal","C:\Users\PCCPPPCCC\.positron\extensions\waylongleon.sightread-1.3.2-universal","0.12","0","否"
"workday.dj","1.10.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\workday.dj-1.10.0-universal","3.67","0.004","否"
"workday.dj","1.10.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\workday.dj-1.10.1-universal","3.69","0.004","否"
"yantra-copilot.yantra-copilot","0.4.36-universal","C:\Users\PCCPPPCCC\.positron\extensions\yantra-copilot.yantra-copilot-0.4.36-universal","99.27","0.097","否"
"yantra-copilot.yantra-copilot","0.4.56-universal","C:\Users\PCCPPPCCC\.positron\extensions\yantra-copilot.yantra-copilot-0.4.56-universal","99.43","0.097","否"
"yss-tazawa.plantuml-markdown-preview","0.7.7-universal","C:\Users\PCCPPPCCC\.positron\extensions\yss-tazawa.plantuml-markdown-preview-0.7.7-universal","50.34","0.049","否"
"yss-tazawa.plantuml-markdown-preview","0.7.8-universal","C:\Users\PCCPPPCCC\.positron\extensions\yss-tazawa.plantuml-markdown-preview-0.7.8-universal","50.34","0.049","否"
"yuri-schimke.compose-preview","0.16.46-universal","C:\Users\PCCPPPCCC\.positron\extensions\yuri-schimke.compose-preview-0.16.46-universal","4.16","0.004","否"
"yuri-schimke.compose-preview","0.16.47-universal","C:\Users\PCCPPPCCC\.positron\extensions\yuri-schimke.compose-preview-0.16.47-universal","4.16","0.004","否"
